Section - Id,Section - Phase Cond,Section - Amp Rating,Section - Dist,Section - Phasing,Volts - Out,Volts - Drop,Into - Amps,Into - pf,% Ldg - Cont,% Ldg - Emer,In - kW,In - kvar,Into - kW,Into - kvar,Into - c.kVA,Into - Cust,Loss - kW,Loss - kvar,Load Cat,Desc
0971_09711,3-636_AL_C,770,0.19,ABCN,122.9,0.1,297,96,39,39,0,0,6074,1771,18996,1169,1,6,---,971 TO P133509
09711_09711AN,3-636_AL_C,770,0.21,ABCN,122.9,0,0,100,0,0,0,0,0,0,0,0,0,0,---,TS 237-T1-971
09711_09712,3-636_AL_C,770,0.31,ABCN,122.9,0,297,96,39,39,0,0,6073,1765,18996,1169,1,4,---,P133509 TO Z104217
09712_0971231,3-#2_AL_C,180,0.35,ABCN,122.9,0,0.5,93.2,0,0,0,0,10,4,30,1,0,0,---,Z104217 TO P715309
09712_09713,3-636_AL_C,770,0.54,ABCN,122.8,0.1,296.5,96,39,39,0,0,6062,1758,18966,1168,2,7,---,Z104217 TO Z104216
09713_09714,3-636_AL_C,770,0.7,ABCN,122.8,0.1,296.5,96.1,39,39,0,0,6061,1751,18966,1168,1,5,---,Z104216 TO Z104215
09714_09711058,3-#2_AL_B,180,0.81,A CN,122.8,0,1.2,93.2,1,1,0,0,16,6,50,4,0,0,---,Z104215 TO P818752
09714_09715,3-636_AL_C,770,0.86,ABCN,122.7,0,295.7,96.1,38,38,0,0,6043,1739,18916,1164,1,5,---,Z104215 TO Z104214
09715_09716,3-636_AL_C,770,1.08,ABCN,122.7,0.1,295.7,96.1,38,38,0,0,6042,1735,18916,1164,2,7,---,Z104214 TO Z104213
09716_09717,3-636_AL_C,770,1.27,ABCN,122.6,0.1,295.7,96.1,38,38,0,0,6041,1728,18916,1164,1,6,---,Z104213 TO Z104212
09717_09718,3-636_AL_C,770,1.36,ABCN,122.6,0,295.7,96.2,38,38,0,0,6039,1722,18916,1164,1,3,---,Z104212 TO P228184
09718_09719,3-636_AL_C,770,1.45,ABCN,122.6,0,295.7,96.2,38,38,0,0,6039,1719,18916,1164,1,3,---,P228184 TO Z104211
09719_097110,3-636_AL_C,770,1.6,ABCN,122.5,0,295.7,96.2,38,38,0,0,6038,1716,18916,1164,1,5,---,Z104211 TO Z104210
09711058_09711059,3-#2_AL_B,180,1.02,A CN,122.8,0,1.2,93.2,1,1,8,3,16,6,50,4,0,0,---,P818752 TO P818753
09711059_09711060,3-#2_AL_B,180,1.27,A CN,122.8,0,0.6,93.2,0,0,8,3,8,3,25,1,0,0,---,P818753 TO P818754
097110_097111,3-636_AL_C,770,1.86,ABCN,122.4,0.1,295.7,96.2,38,38,0,0,6037,1712,18916,1164,2,8,---,Z104210 TO Z104209
097111_097112,3-636_AL_C,770,2.01,ABCN,122.4,0,295.7,96.2,38,38,0,0,6035,1704,18916,1164,1,5,---,Z104209 TO Z104208
097112_09711201,3-#2_AL_C,180,2.33,ABCN,122.4,0,1.6,93.2,1,1,0,0,32,12,100,3,0,0,---,Z104208 TO P214962
097112_097113,3-636_AL_C,770,2.3,ABCN,122.3,0.1,294.1,96.3,38,38,0,0,6002,1687,18816,1161,2,9,---,Z104208 TO Z104207
097113_09711301,3-#2_AL_B,180,2.42, BCN,122.3,0,1.2,93.2,1,1,0,0,16,6,50,3,0,0,---,Z104207 TO P32727
097113_097114,3-636_AL_C,770,2.64,ABCN,122.2,0.1,293.3,96.3,38,38,0,0,5984,1672,18766,1158,3,11,---,Z104207 TO Z104206
097114_097115,3-636_AL_C,770,2.95,ABCN,122.1,0.1,293.3,96.4,38,38,0,0,5982,1661,18766,1158,2,9,---,Z104206 TO Z104205
097115_097116,3-636_AL_C,770,3.15,ABCN,122,0.1,293.3,96.4,38,38,0,0,5980,1652,18766,1158,1,6,---,Z104205 TO Z104204
097116_097117,3-636_AL_C,770,3.31,ABCN,122,0.1,293.3,96.4,38,38,0,0,5978,1646,18766,1158,1,5,---,Z104204 TO Z104203
097117_097118,3-636_AL_C,770,3.52,ABCN,121.9,0.1,293.3,96.4,38,38,8,3,5977,1641,18766,1158,1,6,---,Z104203 TO Z104202
097118_097119,3-636_AL_C,770,3.77,ABCN,121.9,0.1,292.9,96.5,38,38,0,0,5968,1631,18741,1153,2,8,---,Z104202 TO Z104201
097119_097120,3-636_AL_C,770,3.94,ABCN,121.8,0.1,292.9,96.5,38,38,8,3,5966,1624,18741,1153,1,5,---,Z104201 TO Z104200
097120_097121,3-636_AL_C,770,4.14,ABCN,121.8,0.1,292.5,96.5,38,38,0,0,5957,1615,18716,1152,1,6,---,Z104200 TO Z104199
097121_09712101,3-#6_CU_B,130,4.37,A CN,121.8,0,0.4,93.2,0,0,5,2,5,2,15,4,0,0,---,Z104199 TO P110643
097121_097122,3-636_AL_C,770,4.25,ABCN,121.7,0,292.3,96.5,38,38,0,0,5951,1608,18701,1148,1,3,---,Z104199 TO P190321
097122_09712201,3-336_AL_C,530,4.52,ABCN,121.7,0,20.5,93.2,4,4,0,0,403,157,1284,63,0,0,---,P190321 TO P113125
097122_097123,3-336_AL_C,530,4.33,ABCN,121.7,0,269.4,96.8,51,51,0,0,5498,1429,17262,1061,1,2,---,P190321 TO Z104198
0971231_0971232,3-#2_AL_C,180,0.56,ABCN,122.9,0,0.5,93.2,0,0,0,0,10,4,30,1,0,0,---,P715309 TO P715310
0971232_0971233,3-#2_AL_C,180,0.83,ABCN,122.9,0,0.5,93.2,0,0,10,4,10,4,30,1,0,0,---,P715310 TO P715311
097123_097124,3-636_AL_C,770,4.51,ABCN,121.6,0,269.4,96.8,35,35,0,0,5497,1427,17262,1061,1,5,---,Z104198 TO Z104197
097124_097125,3-636_AL_C,770,4.69,ABCN,121.6,0,269.4,96.8,35,35,8,3,5496,1422,17262,1061,1,5,---,Z104197 TO Z104196
097125_097126,3-636_AL_C,770,4.98,ABCN,121.5,0.1,269,96.8,35,35,0,0,5487,1414,17237,1060,2,8,---,Z104196 TO Z104195
097126_097127,3-636_AL_C,770,5.2,ABCN,121.5,0.1,269,96.9,35,35,0,0,5485,1407,17237,1060,1,6,---,Z104195 TO Z104194
097127_097128,3-636_AL_C,770,5.41,ABCN,121.4,0.1,269,96.9,35,35,0,0,5484,1401,17237,1060,1,5,---,Z104194 TO Z104193
097128_097129,3-636_AL_C,770,5.6,ABCN,121.4,0,269,96.9,35,35,0,0,5482,1396,17237,1060,1,5,---,Z104193 TO Z104192
097129_097130,3-636_AL_C,770,5.88,ABCN,121.3,0.1,269,96.9,35,35,0,0,5481,1391,17237,1060,2,7,---,Z104192 TO Z104191
097130_097131,3-636_AL_C,770,6.13,ABCN,121.2,0.1,269,97,35,35,0,0,5480,1384,17237,1060,2,6,---,Z104191 TO Z104190
097131_097132,3-636_AL_C,770,6.38,ABCN,121.2,0.1,269,97,35,35,0,0,5478,1377,17237,1060,2,6,---,Z104190 TO Z104189
097132_097133,3-636_AL_C,770,6.63,ABCN,121.1,0.1,269,97,35,35,0,0,5477,1371,17237,1060,2,6,---,Z104189 TO Z104188
097133_097134,3-636_AL_C,770,6.88,ABCN,121,0.1,269,97,35,35,0,0,5475,1364,17237,1060,2,6,---,Z104188 TO Z104187
097134_097135,3-636_AL_C,770,6.95,ABCN,121,0,269,97.1,35,35,0,0,5474,1358,17237,1060,0,2,---,Z104187 TO P104099
097135_097136,3-636_AL_C,770,7.04,ABCN,121,0,269,97.1,35,35,0,0,5473,1356,17237,1060,1,2,---,P104099 TO P104216
097136_097137,3-636_AL_C,770,7.28,ABCN,120.9,0.1,269,97.1,35,35,0,0,5473,1354,17237,1060,1,6,---,P104216 TO P104771
097137_097138,3-636_AL_C,770,7.53,ABCN,120.9,0.1,269,97.1,35,35,0,0,5471,1348,17237,1060,2,6,---,P104771 TO P104772
097138_097139,3-636_AL_C,770,7.75,ABCN,120.8,0.1,269,97.1,35,35,0,0,5470,1341,17237,1060,1,6,---,P104772 TO P105832
097139_097140,3-636_AL_C,770,8.06,ABCN,120.7,0.1,269,97.1,35,35,31,12,5468,1336,17237,1060,2,8,---,P105832 TO P515808
097140_097141,3-636_AL_C,770,8.24,ABCN,120.7,0,267.5,97.2,35,35,0,0,5435,1316,17137,1057,1,4,---,P515808 TO P319066
097141_09714101,3-#6_CU_B,130,8.28,A CN,120.7,0,0.4,93.2,0,0,0,0,5,2,15,1,0,0,---,P319066 TO P319067
097141_097142,3-636_AL_C,770,8.5,ABCN,120.6,0.1,267.2,97.2,35,35,0,0,5430,1309,17122,1056,2,7,---,P319066 TO P319065
097142_097143,3-636_AL_C,770,8.75,ABCN,120.5,0.1,267.2,97.2,35,35,0,0,5428,1303,17122,1056,2,7,---,P319065 TO P118906
097143_097144,3-636_AL_C,770,8.9,ABCN,120.5,0,267.2,97.3,35,35,16,6,5426,1296,17122,1056,1,4,---,P118906 TO P610661
097144_097145,3-636_AL_C,770,9.15,ABCN,120.4,0.1,266.4,97.3,35,35,5,2,5410,1287,17072,1054,1,6,---,P610661 TO P118905
097145_097146,3-636_AL_C,770,9.3,ABCN,120.4,0,266.2,97.3,35,35,0,0,5404,1279,17057,1053,1,4,---,P118905 TO P104861
097146_097147,3-636_AL_C,770,9.46,ABCN,120.4,0,266.2,97.3,35,35,0,0,5403,1275,17057,1053,1,4,---,P104861 TO P118904
097147_097148,3-636_AL_C,770,9.58,ABCN,120.3,0,266.2,97.3,35,35,0,0,5402,1271,17057,1053,1,3,---,P118904 TO P118903
097148_09714801,3-#6_CU_B,130,9.65, BCN,120.5,0,1.8,93.2,1,1,0,0,23,9,75,4,0,0,---,P118903 TO P413379
097148_097149,3-636_AL_C,770,9.68,ABCN,120.3,0,265,97.4,34,34,0,0,5378,1259,16982,1049,1,3,---,P118903 TO P104865
097149_097150,3-636_AL_C,770,9.86,ABCN,120.3,0,265,97.4,34,34,0,0,5378,1256,16982,1049,1,4,---,P104865 TO P136257
097150_09715001,3-#2_AL_B,180,10.09,A CN,120.3,0,1.8,93.2,1,1,0,0,23,9,75,6,0,0,---,P136257 TO P136258
097150_097151,3-636_AL_C,770,9.98,ABCN,120.2,0,263.8,97.4,34,34,15,6,5353,1243,16907,1043,1,3,---,P136257 TO P118902
097151_097152,3-636_AL_C,770,10.24,ABCN,120.2,0.1,263,97.4,34,34,0,0,5337,1234,16857,1042,1,6,---,P118902 TO P104876
097152_097153,3-636_AL_C,770,10.46,ABCN,120.1,0.1,263,97.5,34,34,0,0,5336,1228,16857,1042,1,5,---,P104876 TO P118901
097153_09715301,3-#6_CU_C,130,10.67,ABCN,120.1,0,1.6,93.2,1,1,31,12,31,12,100,2,0,0,---,P118901 TO P317649
097153_097154,3-636_AL_C,770,10.66,ABCN,120.1,0,261.5,97.5,34,34,0,0,5304,1210,16757,1040,1,5,---,P118901 TO P104885
097154_097155,3-636_AL_C,770,10.86,ABCN,120,0,261.5,97.5,34,34,0,0,5303,1205,16757,1040,1,5,---,P104885 TO P118900
097155_097156,3-636_AL_C,770,11.14,ABCN,120,0.1,261.5,97.5,34,34,0,0,5301,1200,16757,1040,2,7,---,P118900 TO P116171
097156_09715601,3-#6_CU_B,130,11.54,A CN,120,0,0.6,93.2,0,0,8,3,8,3,25,0,0,0,---,P116171 TO P116172
097156_097157,3-636_AL_C,770,11.4,ABCN,119.9,0.1,261.1,97.6,34,34,8,3,5292,1191,16732,1040,1,6,---,P116171 TO P116170
097157_097158,3-636_AL_C,770,11.66,ABCN,119.8,0.1,260.7,97.6,34,34,0,0,5283,1181,16707,1039,1,6,---,P116170 TO 971-289
FU 097122_097122A,Device Conductor 15A,15,4.26, BCN,121.8,0,3.7,93.2,25,25,0,0,49,19,155,24,0,0,---,P190321
SW 097158_097158A,Device Conductor 600A,600,11.67,ABCN,119.8,0,260.7,97.6,43,43,8,3,5282,1175,16707,1039,0,0,---,971-289
09711201_09711202,3-#6_CU_C,130,2.55,ABCN,122.4,0,1.6,93.2,1,1,0,0,32,12,100,3,0,0,---,P214962 TO P214963
09711202_09711203,3-#6_CU_C,130,2.84,ABCN,122.4,0,1.6,93.2,1,1,32,12,32,12,100,3,0,0,---,P214963 TO P214964
09711301_09711302,3-#2_AL_C,180,2.64, BCN,122.3,0,1.2,93.2,1,1,8,3,16,6,50,3,0,0,---,P32727 TO P32728
09711302_09711303,3-#2_AL_B,180,2.94, BCN,122.3,0,0.6,93.2,0,0,8,3,8,3,25,2,0,0,---,P32728 TO P136519
09712201_09712202,3-336_AL_C,530,4.67,ABCN,121.7,0,20.5,93.2,4,4,0,0,403,157,1284,63,0,0,---,P113125 TO P715827
09712202_09712203,3-336_AL_C,530,4.78,ABCN,121.7,0,20.5,93.2,4,4,8,3,403,157,1284,63,0,0,---,P715827 TO P113126
09712203_09712204,3-336_AL_C,530,5.05,ABCN,121.7,0,20.1,93.2,4,4,0,0,395,154,1259,61,0,0,---,P113126 TO 971-29R
097122A_09712318,3-#2_AL_B,180,4.48, BCN,121.8,0,3.7,93.2,2,2,0,0,49,19,155,24,0,0,---,P190321 TO P419426
09712318_09712319,3-#2_AL_B,180,4.6, BCN,121.8,0,2.5,93.2,1,1,0,0,33,13,105,16,0,0,---,P419426 TO P419427
09712318_09712325,3-#2_AL_B,180,4.59, BCN,121.8,0,1.2,93.2,1,1,0,0,16,6,50,8,0,0,---,P419426 TO P615924
09712319_09712320,3-#2_AL_B,180,4.73, BCN,121.8,0,2.5,93.2,1,1,16,6,33,13,105,16,0,0,---,P419427 TO P419428
09712320_09712321,3-#4_CU_B,180,4.91, BCN,121.8,0,1.3,93.2,1,1,0,0,17,7,55,10,0,0,---,P419428 TO P519486
09712321_09712322,3-#2A5005C,180,5.16, BCN,121.8,0,1,93.2,1,1,8,3,13,5,40,5,0,0,---,P519486 TO P519487
09712321_09712324,3-#2_AL_B,180,5.1, BCN,121.8,0,0.4,93.2,0,0,5,2,5,2,15,5,0,0,---,P519486 TO P419430
09712322_09712323,3-#2A5005C,180,5.41, BCN,121.8,0,0.4,93.2,0,0,5,2,5,2,15,3,0,0,---,P519487 TO P613511
09712325_09712326,3-#2_AL_B,180,4.8, BCN,121.8,0,1.2,93.2,1,1,8,3,16,6,50,8,0,0,---,P615924 TO P615925
09712326_09712327,3-#2_AL_B,180,5.08, BCN,121.8,0,0.6,93.2,0,0,8,3,8,3,25,5,0,0,---,P615925 TO P615926
09714101_09714102,3-#6_CU_B,130,8.5,A CN,120.7,0,0.4,93.2,0,0,0,0,5,2,15,1,0,0,---,P319067 TO P319068
09714102_09714103,3-#6_CU_B,130,8.81,A CN,120.7,0,0.4,93.2,0,0,5,2,5,2,15,1,0,0,---,P319068 TO P319069
09714801_09714802,3-#6_CU_B,130,9.83, BCN,120.5,0,1.8,93.2,1,1,0,0,23,9,75,4,0,0,---,P413379 TO P810556
09714802_09714803,3-#6_CU_B,130,10, BCN,120.5,0,1.8,93.2,1,1,0,0,23,9,75,4,0,0,---,P810556 TO P133169
09714803_09714804,3-#2_AL_B,180,10.1, BCN,120.5,0,1.2,93.2,1,1,0,0,15,6,50,2,0,0,---,P133169 TO P133170
09714803_09714807,3-#6_CU_B,130,10.24, BCN,120.5,0,0.6,93.2,0,0,8,3,8,3,25,2,0,0,---,P133169 TO P413444
09714804_09714805,3-#2_AL_B,180,10.45, BCN,120.5,0,1.2,93.2,1,1,8,3,15,6,50,2,0,0,---,P133170 TO P133171
09714805_09714806,3-#2_AL_B,180,10.69, BCN,120.5,0,0.6,93.2,0,0,8,3,8,3,25,1,0,0,---,P133171 TO P237752
09715001_09715002,3-#2_AL_B,180,10.35,A CN,120.3,0,1.8,93.2,1,1,8,3,23,9,75,6,0,0,---,P136258 TO P136259
09715002_09715003,3-#2_AL_B,180,10.59,A CN,120.3,0,1.2,93.2,1,1,0,0,15,6,50,4,0,0,---,P136259 TO P136306
09715003_09715006,3-#2_AL_B,180,10.83,A CN,120.3,0,0.6,93.2,0,0,8,3,8,3,25,3,0,0,---,P136306 TO P136307
097158A_097159,3-636_AL_C,770,11.97,ABCN,119.8,0.1,260.3,97.6,34,34,0,0,5274,1172,16682,1038,2,7,---,971-289 TO P116168
097159_09715901,3-#4_CU_C,180,12.07,ABCN,119.8,0,5.7,93.2,3,3,0,0,110,43,359,22,0,0,---,P116168 TO P104913
097159_097160,3-636_AL_C,770,12.09,ABCN,119.7,0,254.7,97.7,33,33,0,0,5162,1122,16322,1016,1,3,---,P116168 TO P105995
097160_097161,3-636_AL_C,770,12.22,ABCN,119.7,0,254.7,97.7,33,33,0,0,5161,1119,16322,1016,1,3,---,P105995 TO P215405
097161_097162,3-636_AL_C,770,12.37,ABCN,119.7,0,254.7,97.7,33,33,0,0,5161,1117,16322,1016,1,3,---,P215405 TO P107142
097162_097163,3-636_AL_C,770,12.52,ABCN,119.6,0,254.7,97.8,33,33,0,0,5160,1113,16322,1016,1,4,---,P107142 TO 971-26R
FU 09715003_09715003A,Device Conductor 15A,15,10.6,A CN,120.3,0,0.6,93.2,4,4,0,0,8,3,25,1,0,0,---,P136306
RC 09712204_09712204A,Device Conductor 560A,560,5.06,ABCN,121.7,0,20.1,93.2,4,4,0,0,395,154,1259,61,0,0,---,971-29R
RC 097163_097163A,Device Conductor 630A,630,12.53,ABCN,119.6,0,254.7,97.8,40,40,0,0,5159,1110,16322,1016,0,0,---,971-26R
09712204A_09712205,3-336_AL_C,530,5.3,ABCN,121.7,0,20.1,93.2,4,4,0,0,395,154,1259,61,0,0,---,971-29R TO P113128
09712205_09712206,3-336_AL_C,530,5.46,ABCN,121.7,0,20.1,93.2,4,4,0,0,395,154,1259,61,0,0,---,P113128 TO P171727
09712206_09712207,3-336_AL_C,530,5.6,ABCN,121.7,0,20.1,93.2,4,4,0,0,395,154,1259,61,0,0,---,P171727 TO P113129
09712207_09712208,3-#2_AL_B,180,5.7, BCN,121.7,0,1.2,93.2,1,1,8,3,16,6,50,4,0,0,---,P113129 TO P612224
09712207_09712211,3-336_AL_C,530,5.77,ABCN,121.7,0,19.3,93.2,4,4,0,0,380,147,1209,57,0,0,---,P113129 TO P715828
09712208_09712209,3-#2_AL_B,180,5.93, BCN,121.7,0,0.6,93.2,0,0,0,0,8,3,25,1,0,0,---,P612224 TO P612225
09712209_09712210,3-#2_AL_B,180,6.16, BCN,121.7,0,0.6,93.2,0,0,8,3,8,3,25,1,0,0,---,P612225 TO P612226
09712211_09712212,3-336_AL_C,530,5.9,ABCN,121.7,0,19.3,93.2,4,4,0,0,380,147,1209,57,0,0,---,P715828 TO P113130
09712212_09712213,3-336_AL_C,530,6.07,ABCN,121.7,0,19.3,93.2,4,4,0,0,380,147,1209,57,0,0,---,P113130 TO P715829
09712213_09712214,3-336_AL_C,530,6.23,ABCN,121.7,0,19.3,93.2,4,4,0,0,380,147,1209,57,0,0,---,P715829 TO P113131
09712214_09712215,3-#2_AL_C,180,6.35,ABCN,121.7,0,0.8,93.2,0,0,0,0,16,6,50,6,0,0,---,P113131 TO P166713
09712214_09712219,3-336_AL_C,530,6.4,ABCN,121.7,0,18.5,93.2,3,3,0,0,364,141,1160,51,0,0,---,P113131 TO P715830
09712215_09712216,3-#2_AL_C,180,6.48,ABCN,121.7,0,0.8,93.2,0,0,8,3,16,6,50,6,0,0,---,P166713 TO P312745
09712216_09712217,3-#2_AL_B,180,6.73, BCN,121.7,0,0.6,93.2,0,0,0,0,8,3,25,1,0,0,---,P312745 TO P710870
09712217_09712218,3-#2_AL_B,180,6.88, BCN,121.7,0,0.6,93.2,0,0,8,3,8,3,25,1,0,0,---,P710870 TO P710878
09712219_09712220,3-336_AL_C,530,6.6,ABCN,121.6,0,18.5,93.2,3,3,5,2,364,141,1160,51,0,0,---,P715830 TO P113132
09712220_09712221,3-336_AL_C,530,6.75,ABCN,121.6,0,18.3,93.2,3,3,0,0,359,139,1144,49,0,0,---,P113132 TO P715831
09712221_09712222,3-336_AL_C,530,6.88,ABCN,121.6,0,18.3,93.2,3,3,0,0,359,139,1144,49,0,0,---,P715831 TO P113133
09712222_09712223,3-#6_CU_B,130,7.27,A CN,121.6,0,4.6,93.2,4,4,0,0,60,23,190,14,0,0,---,P113133 TO P117455
09712222_09712240,3-336_AL_C,530,7.09,ABCN,121.6,0,14.1,93.2,3,3,0,0,276,107,880,33,0,0,---,P113133 TO P113134
09712222_09712313,3-#2_AL_B,180,6.97,AB N,121.6,0,1.8,93.2,1,1,0,0,23,9,75,2,0,0,---,P113133 TO P710871
09712240_09712241,3-336_AL_C,530,7.3,ABCN,121.6,0,14.1,93.2,3,3,0,0,276,107,880,33,0,0,---,P113134 TO P714597
09712241_09712242,3-#2_AL_B,180,7.56,A CN,121.6,0,0.6,93.2,0,0,0,0,8,3,25,2,0,0,---,P714597 TO P714598
09712241_09712244,3-336_AL_C,530,7.63,ABCN,121.6,0,13.7,93.2,3,3,0,0,268,104,855,31,0,0,---,P714597 TO P113135
09712242_09712243,3-#2_AL_B,180,7.82,A CN,121.6,0,0.6,93.2,0,0,8,3,8,3,25,2,0,0,---,P714598 TO P714599
09712244_09712245,3-#2_AL_B,180,7.83,A  N,121.5,0,4.8,93.2,3,3,0,0,31,12,100,1,0,0,---,P113135 TO P719679
09712244_09712247,3-336_AL_C,530,7.85,ABCN,121.6,0,12.1,93.2,2,2,31,12,237,92,755,30,0,0,---,P113135 TO P113136
09712247_09715936A,3-336_AL_C,530,8.15,ABCN,121.6,0,10.5,93.2,2,2,0,0,205,80,655,29,0,0,---,P113136 TO 971971
09712313_09712314,3-#2_AL_B,180,7.27,AB N,121.6,0,1.8,93.2,1,1,0,0,23,9,75,2,0,0,---,P710871 TO P710872
