Section - Id,Fault - Location,Phase - Conductor,Dist - kFt,Phase - Config,Nominal - kV,Symmetrical Amps - LG Min,Symmetrical Amps - LG Max,Symmetrical Amps - LL,Symmetrical Amps - LLG,Symmetrical Amps - 3Ph,Cumulative Impedance (Ohms) - R1,Cumulative Impedance (Ohms) - X1,Cumulative Impedance (Ohms) - R0,Cumulative Impedance (Ohms) - X0,Asymmetrical Amps - LG Min,Asymmetrical Amps - LG Max,Asymmetrical Amps - LL,Asymmetrical Amps - LLG,Asymmetrical Amps - 3Ph Avg,Asymmetrical Amps - 3Ph Max
Feeder 0480,---,---,0,ABCN,12,173,9291,13098,13518,15125,0.0456,0.4558,0.0237,1.3226,173,15271,20546,22219,19689,23725
0480_04801,480 TO M1983469400,1000AXLPEP,0.47,ABCN,12,173,9106,12646,13070,14603,0.0591,0.4707,0.0625,1.3338,173,14565,19377,20904,18715,22375
04801_04802,M1983469400 TO M1984069380,1000AXLPEP,0.67,ABCN,12,173,9025,12454,12879,14381,0.0651,0.4773,0.0796,1.3388,173,14271,18900,20365,18314,21824
04802_0480201,M1984069380 TO M1983469400,2/0AL_PECN,0.88,ABCN,12,173,8715,12088,12494,13958,0.0994,0.4863,0.1782,1.3822,173,12955,17319,18572,17124,19998
04802_04803,M1984069380 TO M1989269392,1000AXLPEP,1.25,ABCN,12,173,8797,11937,12364,13783,0.082,0.4959,0.1278,1.3527,173,13494,17664,18966,17266,20397
04803_04804,M1989269392 TO 480-1,1000AXLPEP,1.39,ABCN,12,173,8744,11820,12248,13649,0.0859,0.5003,0.1391,1.356,173,13323,17397,18662,17037,20088
SW 04804_04804A,480-1,Device Conductor 600A,1.4,ABCN,12,173,8744,11820,12248,13649,0.0859,0.5003,0.1391,1.356,173,13323,17396,18661,17037,20088
0480201_0480202,M1983469400 TO D108727,2/0AL_PECN,0.94,ABCN,12,173,8622,11976,12377,13829,0.1093,0.4889,0.207,1.3949,173,12608,16897,18099,16801,19511
04804A_04805,480-1 TO P832356,3-636_AL_C,1.6,ABCN,12,173,8192,11277,11665,13022,0.0916,0.5241,0.1556,1.4662,173,12451,16556,17729,16228,19117
04805_04806,P832356 TO P832369,3-636_AL_C,1.75,ABCN,12,173,7828,10908,11270,12595,0.0957,0.5417,0.1678,1.5475,173,11877,15986,17100,15679,18459
04806_04807,P832369 TO P832343,3-1033A_G,1.98,ABCN,12,173,7339,10416,10745,12028,0.0996,0.5673,0.1841,1.6715,173,11135,15280,16302,14982,17644
04807_0480701,P832343 TO P832342,3-#6_CU_B,2.02,AB N,12,173,7231,10251,10574,---,0.116,0.5737,0.2026,1.6941,173,10815,14712,15816,---,---
04807_0480702,P832343 TO P832365,3-#6_CU_B,2.14, BCN,12,172,6906,9735,10044,---,0.1665,0.5934,0.2597,1.7639,172,9921,13162,14430,---,---
04807_04808,P832343 TO 480-9,3-1033A_G,2.12,ABCN,12,173,7077,10146,10457,11716,0.1019,0.5825,0.1937,1.7449,173,10737,14892,15866,14598,17195
FU 0480202_0480202A,D108727,Device Conductor 80A,0.95,ABCN,12,173,8622,11976,12377,13828,0.1093,0.4889,0.207,1.3949,173,12608,16897,18098,16801,19511
FU 04805_04805A,P832356,Device Conductor 40A,1.61, BCN,12,173,8192,11277,11665,---,0.0916,0.5241,0.1556,1.4662,173,12451,16556,17728,---,---
FU 04806_04806A,P832369,Device Conductor 80A,1.76,AB N,12,173,7828,10908,11270,---,0.0957,0.5417,0.1678,1.5475,173,11877,15986,17100,---,---
SW 04808_04808A,480-9,Device Conductor 600A,2.13,ABCN,12,173,7077,10146,10457,11716,0.1019,0.5825,0.1937,1.7449,173,10737,14891,15865,14598,17195
0480202A_0480203,D108727 TO M1983469400,1C#2SAPECN,1.01,  CN,12,172,8480,---,---,---,0.1356,0.4975,0.2333,1.4035,172,12091,---,---,---,---
0480202A_0480205,D108727 TO D108728,1C#2SAPECN,1.28,ABCN,12,172,7822,10625,11001,12269,0.2224,0.5191,0.4149,1.4761,172,10149,13103,14272,13739,15130
