Section - Id,Section - Phase Cond,Section - Amp Rating,Section - Dist,Section - Phasing,Volts - Out,Volts - Drop,Into - Amps,Into - pf,% Ldg - Cont,% Ldg - Emer,In - kW,In - kvar,Into - kW,Into - kvar,Into - c.kVA,Into - Cust,Loss - kW,Loss - kvar,Load Cat,Desc
0520_05201,1000AXLPEP,520,0.18,ABCN,125.9,0.1,535.6,94,103,103,0,0,10983,3999,38201,2246,5,5,---,520 TO 520-5
SW 05201_05201A,Device Conductor 600A,600,0.19,ABCN,125.9,0,535.6,94,89,89,0,0,10979,3994,38201,2246,0,0,---,520-5
05201A_05202,3-636_AL_C,770,0.22,ABCN,125.9,0,535.6,94,70,70,0,0,10979,3994,38201,2246,1,3,---,520-5 TO 520-22R
RC 05202_05202A,Device Conductor 630A,630,0.23,ABCN,125.9,0,535.6,94,85,85,0,0,10978,3991,38201,2246,0,0,---,520-22R
05202A_05203,3-636_AL_C,770,0.35,ABCN,125.8,0.1,535.6,94,70,70,0,0,10978,3991,38201,2246,3,12,---,520-22R TO P712844
05203_05204,3-636_AL_C,770,0.4,ABCN,125.8,0,535.6,94,70,70,0,0,10975,3979,38201,2246,1,5,---,P712844 TO P227921
05204_05205,3-636_AL_C,770,0.43,ABCN,125.8,0,535.6,94,70,70,0,0,10974,3974,38201,2246,1,3,---,P227921 TO P30803
05205_05206,3-636_AL_C,770,0.49,ABCN,125.8,0,535.6,94,70,70,0,0,10973,3971,38201,2246,1,6,---,P30803 TO P214173
05206_0520601,3-636_AL_C,770,0.76,ABCN,125.6,0.2,535.6,94,70,70,0,0,10972,3965,38201,2246,7,28,---,P214173 TO P211081
SW 05206_0521168A,Device Conductor 600A,600,0.5,ABCN,125.8,0,0,100,0,0,0,0,0,0,0,0,0,0,---,TS 520-T1-521
0520601_0520602,3-636_AL_C,770,1.18,ABCN,125.3,0.3,535.6,94.1,70,70,0,0,10965,3937,38201,2246,10,42,---,P211081 TO P111859
