Section - Id,Section - Phase Cond,Section - Amp Rating,Section - Dist,Section - Phasing,Volts - Out,Volts - Drop,Into - Amps,Into - pf,% Ldg - Cont,% Ldg - Emer,In - kW,In - kvar,Into - kW,Into - kvar,Into - c.kVA,Into - Cust,Loss - kW,Loss - kvar,Load Cat,Desc
0480_04801,1000AXLPEP,520,0.47,ABCN,122.9,0.1,392.6,-99,76,76,0,0,8281,-1184,16722,3774,6,7,---,480 TO M1983469400
04801_04802,1000AXLPEP,520,0.67,ABCN,122.9,0,392.6,-99,76,76,0,0,8275,-1191,16722,3774,3,3,---,M1983469400 TO M1984069380
04802_0480201,2/0AL_PECN,158,0.88,ABCN,122.9,0,4.1,99.5,3,3,0,0,88,9,175,3,0,0,---,M1984069380 TO M1983469400
04802_04803,1000AXLPEP,520,1.25,ABCN,122.8,0.1,388.6,-98.9,75,75,0,0,8184,-1203,16547,3771,8,8,---,M1984069380 TO M1989269392
04803_04804,1000AXLPEP,520,1.39,ABCN,122.8,0,388.6,-98.9,75,75,0,0,8176,-1211,16547,3771,2,2,---,M1989269392 TO 480-1
SW 04804_04804A,Device Conductor 600A,600,1.4,ABCN,122.8,0,388.6,-98.9,65,65,0,0,8175,-1213,16547,3771,0,0,---,480-1
0480201_0480202,2/0AL_PECN,158,0.94,ABCN,122.9,0,4.1,99.5,3,3,0,0,88,9,175,3,0,0,---,M1983469400 TO D108727
04804A_04805,3-636_AL_C,770,1.6,ABCN,122.8,0,388.6,-98.9,50,50,0,0,8175,-1213,16547,3771,3,11,---,480-1 TO P832356
04805_04806,3-636_AL_C,770,1.75,ABCN,122.7,0,386.3,-98.9,50,50,0,0,8122,-1229,16447,3751,2,8,---,P832356 TO P832369
04806_04807,3-1033A_G,1060,1.98,ABCN,122.8,0,381.7,-98.8,36,36,0,0,8020,-1246,16247,3742,2,11,---,P832369 TO P832343
04807_0480701,3-#6_CU_B,130,2.02,AB N,122.8,0,0.5,99.5,0,0,8,1,8,1,15,3,0,0,---,P832343 TO P832342
04807_0480702,3-#6_CU_B,130,2.14, BCN,122.7,0,2.7,99.5,2,2,0,0,38,4,75,4,0,0,---,P832343 TO P832365
04807_04808,3-1033A_G,1060,2.12,ABCN,122.8,0,379.7,-98.8,36,36,0,0,7973,-1262,16157,3735,1,7,---,P832343 TO 480-9
FU 0480202_0480202A,Device Conductor 80A,80,0.95,ABCN,122.9,0,4.1,99.5,5,5,0,0,88,9,175,3,0,0,---,D108727
FU 04805_04805A,Device Conductor 40A,40,1.61, BCN,122.8,0,3.5,99.5,9,9,0,0,50,5,100,20,0,0,---,P832356
FU 04806_04806A,Device Conductor 80A,80,1.76,AB N,122.7,0,7.1,99.5,9,9,0,0,100,10,200,9,0,0,---,P832369
SW 04808_04808A,Device Conductor 600A,600,2.13,ABCN,122.8,0,379.7,-98.8,63,63,0,0,7972,-1268,16157,3735,0,0,---,480-9
0480202A_0480203,1C#2SAPECN,108,1.01,  CN,122.9,0,1.8,99.5,2,2,0,0,13,1,25,2,0,0,---,D108727 TO M1983469400
0480202A_0480205,1C#2SAPECN,108,1.28,ABCN,122.9,0,3.6,99.5,3,3,75,7,75,7,150,1,0,0,---,D108727 TO D108728
0480203_0480204,1C#2SAPECN,108,1.1,  CN,122.9,0,1.8,99.5,2,2,13,1,13,1,25,2,0,0,---,M1983469400 TO D1983469402
04805A_0480501,2ALPECNPID,115,1.75, BCN,122.8,0,3.5,99.5,3,3,25,2,50,5,100,20,0,0,---,P832356 TO D1992269408
04806A_0480601,1C#2SAPECN,108,2.02,AB N,122.7,0,7.1,99.5,7,7,0,0,100,10,200,9,0,0,---,P832369 TO H1993069412
0480702_0480703,3-#6_CU_B,130,2.15, BCN,122.7,0,1.8,99.5,1,1,25,2,25,2,50,1,0,0,---,P832365 TO CG199999
0480702_0480704,3-#6_CU_B,130,2.32, BCN,122.7,0,0.9,99.5,1,1,13,1,13,1,25,3,0,0,---,P832365 TO P1997469363
04808A_0480801,3-#4_CU_B,180,2.29,AB N,122.8,0,2.7,99.5,1,1,0,0,38,4,75,7,0,0,---,480-9 TO P832358
04808A_04809,3-1033A_G,1060,2.3,ABCN,122.8,0,378,-98.7,36,36,25,2,7934,-1272,16082,3728,1,8,---,480-9 TO P832361
04809_048010,3-1033A_G,1060,2.42,ABCN,122.8,0,376.8,-98.7,36,36,0,0,7908,-1283,16032,3722,1,6,---,P832361 TO P832372
048010_048011,3-1033A_G,1060,2.57,ABCN,122.8,0,376.8,-98.7,36,36,0,0,7907,-1289,16032,3722,1,7,---,P832372 TO P931483
048011_048012,3-1033A_G,1060,2.72,ABCN,122.8,0,376.8,-98.7,36,36,0,0,7906,-1296,16032,3722,1,7,---,P931483 TO P2002769421
048012_04801201,3-#4_CU_B,180,2.78, BCN,122.7,0,3.6,99.5,2,2,0,0,50,5,100,9,0,0,---,P2002769421 TO P2003069427
