Section - Id,Fault - Location,Phase - Conductor,Dist - kFt,Phase - Config,Nominal - kV,Symmetrical Amps - LG Min,Symmetrical Amps - LG Max,Symmetrical Amps - LL,Symmetrical Amps - LLG,Symmetrical Amps - 3Ph,Cumulative Impedance (Ohms) - R1,Cumulative Impedance (Ohms) - X1,Cumulative Impedance (Ohms) - R0,Cumulative Impedance (Ohms) - X0,Asymmetrical Amps - LG Min,Asymmetrical Amps - LG Max,Asymmetrical Amps - LL,Asymmetrical Amps - LLG,Asymmetrical Amps - 3Ph Avg,Asymmetrical Amps - 3Ph Max
Feeder 0355,---,---,0,ABCN,12,173,8436,10549,11029,12181,0.0508,0.5665,0.0152,1.3281,173,13920,16709,18199,15962,19294
0355_03551,355 TO M101329,1000AXLPEP,0.37,ABCN,12,173,8316,10316,10797,11912,0.0616,0.5784,0.046,1.337,173,13450,16086,17463,15445,18574
03551_03552,M101329 TO 355-24,1000AXLPEP,0.5,ABCN,12,173,8275,10239,10720,11823,0.0652,0.5824,0.0564,1.34,173,13298,15885,17227,15278,18343
SW 03552_03552A,355-24,Device Conductor 600A,0.51,ABCN,12,173,8275,10239,10720,11822,0.0652,0.5824,0.0564,1.34,173,13298,15885,17227,15278,18342
03552A_0355201,355-24 TO 355-T8-357,3-336_AL_C,0.62,ABCN,12,173,7983,9990,10444,11535,0.071,0.5964,0.0683,1.4022,173,12749,15397,16678,14841,17779
03552A_03553,355-24 TO P672256,3-636_AL_C,0.67,ABCN,12,173,7873,9908,10350,11441,0.0697,0.6016,0.0697,1.4287,173,12591,15316,16555,14748,17685
03553_0355301,P672256 TO P776636,3-636_AL_C,0.92,ABCN,12,173,7318,9433,9826,10892,0.0768,0.6314,0.0904,1.5668,173,11629,14506,15614,13993,16750
03553_03554,P672256 TO P670882,3-636_AL_C,0.89,ABCN,12,173,7379,9486,9884,10954,0.076,0.6279,0.088,1.5507,173,11734,14596,15718,14077,16854
03554_03555,P670882 TO P777440,3-636_AL_C,0.97,ABCN,12,173,7214,9341,9725,10787,0.0783,0.6375,0.0947,1.5951,173,11450,14351,15436,13848,16571
03555_03556,P777440 TO P672260,3-636_AL_C,1.14,ABCN,12,173,6896,9056,9413,10456,0.083,0.6574,0.1085,1.6869,173,10904,13868,14885,13396,16013
03556_03557,P672260 TO P776637,3-636_AL_C,1.34,ABCN,12,173,6552,8738,9068,10090,0.0886,0.6809,0.1248,1.7959,173,10321,13336,14283,12897,15399
03557_03558,P776637 TO P776638,3-636_AL_C,1.69,ABCN,12,173,6028,8234,8523,9508,0.0983,0.722,0.1534,1.9862,173,9438,12498,13345,12109,14431
03558_0355801,P776638 TO P877346,3-#2_AL_B,1.78, BCN,12,173,5872,8033,8314,---,0.1234,0.7367,0.1836,2.0397,173,9024,11865,12775,---,---
03558_03559,P776638 TO P677609,3-636_AL_C,1.86,ABCN,12,173,5796,8003,8276,9242,0.1032,0.7425,0.1677,2.0811,173,9052,12118,12924,11751,13993
03559_035510,P677609 TO P677608,3-636_AL_C,2.17,ABCN,12,173,5432,7630,7878,8811,0.1117,0.7784,0.1926,2.2469,173,8448,11507,12252,11174,13287
03559_0355901,P677609 TO P177502,3-#6_CU_C,2.08,AB N,12,172,5450,7505,7761,---,0.1918,0.7761,0.2677,2.2055,172,8010,10400,11406,---,---
03559_0355949,P677609 TO P578556,3-#4_CU_B,2.06, BCN,12,172,5500,7605,7862,---,0.1549,0.7736,0.23,2.1934,172,8288,10932,11848,---,---
FU 035510_035510A,P677608,Device Conductor 30A,2.18,A  N,12,173,5432,---,---,---,0.1117,0.7784,0.1926,2.2469,173,8448,---,---,---,---
FU 03555_03555A,P777440,Device Conductor 15A,0.98, BCN,12,173,7214,9341,9725,---,0.0783,0.6375,0.0947,1.5951,173,11450,14350,15436,---,---
FU 0355949_0355949A,P578556,Device Conductor 15A,2.07, BCN,12,172,5500,7605,7862,---,0.1549,0.7736,0.23,2.1934,172,8288,10932,11848,---,---
SW 0355201_0357502,TS 355-T8-357,Device Conductor 900A,0.63,ABCN,12,173,7978,9985,10439,11530,0.071,0.5967,0.0683,1.4032,173,12742,15391,16671,14835,17772
035510_035511,P677608 TO P677607,3-636_AL_C,2.33,ABCN,12,172,5255,7445,7681,8596,0.1162,0.7975,0.2059,2.3355,172,8157,11205,11921,10888,12938
035510A_03551001,P677608 TO D2422783540,#2_CU_PECN,2.24,A  N,12,172,5407,---,---,---,0.1282,0.7824,0.209,2.2509,172,8313,---,---,---,---
035511_035512,P677607 TO P776639,3-636_AL_C,2.47,ABCN,12,172,5113,7293,7520,8421,0.1201,0.8139,0.2172,2.4112,172,7924,10959,11653,10655,12654
035512_03551201,P776639 TO P30127,3-#2_AL_C,2.55,ABCN,12,172,5013,7155,7377,8262,0.1422,0.8264,0.2438,2.4592,172,7662,10527,11274,10311,12156
035512_035513,P776639 TO P75952,3-636_AL_C,2.87,ABCN,12,172,4741,6885,7089,7950,0.1314,0.8615,0.2503,2.6314,172,7315,10302,10939,10031,11895
035513_03551306,P75952 TO P75951,3-#4_CU_C,3.1,ABCN,12,172,4511,6551,6744,7564,0.1905,0.8959,0.3216,2.762,172,6739,9323,10074,9241,10765
035513_03551394,P75952 TO P77682,3-#6_CU_B,3.17, BCN,12,172,4412,6346,6536,---,0.2562,0.9101,0.3912,2.8036,172,6366,8575,9432,---,---
035513_035514,P75952 TO P75953,3-394_AL_C,3.27,ABCN,12,172,4408,6489,6673,7493,0.1518,0.9121,0.2924,2.8536,172,6743,9593,10209,9380,11077
035514_035515,P75953 TO P75954,3-394_AL_C,3.66,ABCN,12,172,4125,6143,6312,7094,0.1717,0.9614,0.3334,3.0704,172,6264,8989,9586,8821,10380
035515_035516,P75954 TO P75955,3-394_AL_C,3.95,ABCN,12,172,3940,5913,6072,6828,0.1863,0.9975,0.3633,3.2286,172,5956,8594,9178,8453,9923
035516_035517,P75955 TO P678712,3-394_AL_C,4.03,ABCN,12,172,3891,5850,6007,6755,0.1904,1.0077,0.3718,3.2736,172,5873,8487,9068,8354,9800
035517_035518,P678712 TO P75956,3-394_AL_C,4.3,ABCN,12,172,3732,5649,5797,6523,0.2044,1.0423,0.4006,3.4256,172,5611,8147,8716,8036,9407
035518_03551801,P75956 TO P77521,3-#4_CU_B,4.44,A CN,12,172,3639,5497,5642,---,0.2414,1.0645,0.4452,3.5059,172,5389,7737,8353,---,---
035518_03551802,P75956 TO P77522,3-#4_CU_B,4.64, BCN,12,171,3519,5295,5435,---,0.292,1.0949,0.5062,3.6159,171,5109,7231,7892,---,---
035518_035519,P75956 TO P374924,3-394_AL_C,4.41,ABCN,12,172,3672,5572,5717,6434,0.21,1.0561,0.412,3.4862,172,5513,8019,8584,7916,9259
035519_035520,P374924 TO P75957,3-394_AL_C,4.7,ABCN,12,172,3524,5380,5517,6212,0.2246,1.0925,0.4422,3.6457,172,5271,7699,8253,7616,8890
035520_035521,P75957 TO P102599,3-394_AL_C,5.24,ABCN,12,172,3274,5050,5176,5832,0.2522,1.1609,0.4991,3.9463,172,4867,7161,7694,7108,8269
035521_035522,P102599 TO P102598,3-336_AL_C,5.3,ABCN,12,172,3249,5017,5142,5793,0.2553,1.1683,0.5053,3.979,172,4827,7107,7638,7056,8207
035522_035523,P102598 TO P102597,3-336_AL_C,5.46,ABCN,12,171,3184,4930,5051,5693,0.2636,1.1882,0.5222,4.0669,171,4721,6965,7491,6922,8043
035523_035524,P102597 TO 355-1,3-336_AL_C,5.77,ABCN,12,171,3062,4766,4881,5503,0.28,1.2275,0.5556,4.2411,171,4526,6701,7216,6671,7737
0355301_0355302,P776636 TO 355-T1-356,3-636_AL_C,1.03,ABCN,12,173,7105,9245,9619,10675,0.0798,0.6441,0.0992,1.6255,173,11264,14187,15249,13695,16382
03555A_0355501,P777440 TO P777441,3-#2A5005C,1.09, BCN,12,173,6971,9061,9428,---,0.1103,0.6529,0.1324,1.655,173,10743,13367,14530,---,---
0355901_0355902,P177502 TO P177501,3-#6_CU_C,2.44,AB N,12,171,4905,6656,6886,---,0.3433,0.8335,0.4388,2.4183,171,6656,8282,9345,---,---
0355902_0355903,P177501 TO P870118,3-#6_CU_C,2.68,AB N,12,171,4582,6136,6352,---,0.4435,0.8715,0.552,2.559,171,5973,7271,8280,---,---
0355903_0355904,P870118 TO P173767,3-#6_CU_C,2.97,AB N,12,170,4229,5567,5768,---,0.5653,0.9177,0.6895,2.7301,170,5301,6320,7231,---,---
0355904_0355905,P173767 TO P173768,3-#4_CU_B,3.84,AB N,12,169,3510,4539,4707,---,0.7955,1.0557,0.967,3.2299,169,4218,4946,5657,---,---
0355904_0355906,P173767 TO P76593,3-#6_CU_C,3.1,AB N,12,170,4087,5340,5536,---,0.6187,0.9379,0.7498,2.8051,170,5051,5974,6840,---,---
0355949A_0355950,P578556 TO P578557,3-#4_CU_B,2.28, BCN,12,172,5211,7203,7445,---,0.2093,0.8062,0.2956,2.3116,172,7603,9889,10864,---,---
0355950_0355951,P578557 TO P578558,3-#4_CU_B,2.53, BCN,12,172,4892,6746,6972,---,0.2753,0.8458,0.3752,2.4549,172,6904,8845,9839,---,---
0355950_0355952,P578557 TO P139707,3-#2_AL_B,2.35, BCN,12,172,5113,7064,7301,---,0.2293,0.8179,0.3196,2.3542,172,7381,9553,10539,---,---
0355952_0355953,P139707 TO P139708,3-#2_AL_B,2.46, BCN,12,172,4971,6860,7090,---,0.2592,0.8353,0.3556,2.418,172,7069,9087,10082,---,---
