Section - Id,Fault - Location,Phase - Conductor,Dist - kFt,Phase - Config,Nominal - kV,Symmetrical Amps - LG Min,Symmetrical Amps - LG Max,Symmetrical Amps - LL,Symmetrical Amps - LLG,Symmetrical Amps - 3Ph,Cumulative Impedance (Ohms) - R1,Cumulative Impedance (Ohms) - X1,Cumulative Impedance (Ohms) - R0,Cumulative Impedance (Ohms) - X0,Asymmetrical Amps - LG Min,Asymmetrical Amps - LG Max,Asymmetrical Amps - LL,Asymmetrical Amps - LLG,Asymmetrical Amps - 3Ph Avg,Asymmetrical Amps - 3Ph Max
FU 03551306_03551306A,P75951,Device Conductor 150A,3.11,ABCN,12,172,4511,6551,6744,7564,0.1905,0.8959,0.3216,2.762,172,6739,9323,10074,9241,10765
FU 03551394_03551394A,P77682,Device Conductor 15A,3.18, BCN,12,172,4412,6346,6536,---,0.2562,0.9101,0.3912,2.8036,172,6366,8575,9432,---,---
FU 035513_035513A,P75952,Device Conductor 100A,2.88,A CN,12,172,4741,6885,7089,---,0.1314,0.8615,0.2503,2.6314,172,7315,10301,10938,---,---
FU 035516_035516A,P75955,Device Conductor 10A,3.96, BCN,12,172,3940,5913,6072,---,0.1863,0.9975,0.3633,3.2287,172,5956,8593,9178,---,---
FU 035517_035517A,P678712,Device Conductor 30A,4.04,A CN,12,172,3891,5850,6007,---,0.1904,1.0077,0.3718,3.2736,172,5873,8487,9068,---,---
FU 035520_035520A,P75957,Device Conductor 15A,4.71,A CN,12,172,3524,5379,5517,---,0.2246,1.0925,0.4422,3.6457,172,5270,7699,8252,---,---
FU 0355906_0355906A,P76593,Device Conductor 125A,3.11,AB N,12,170,4087,5340,5536,---,0.6187,0.9379,0.7498,2.8051,170,5050,5974,6840,---,---
SW 035524_035524A,355-1,Device Conductor 600A,5.78,ABCN,12,171,3062,4766,4881,5503,0.28,1.2275,0.5556,4.2411,171,4526,6701,7215,6671,7737
SW 0355302_035622N,TS 355-T1-356,Device Conductor 600A,1.04,ABCN,12,173,7105,9245,9619,10675,0.0798,0.6441,0.0992,1.6255,173,11263,14187,15248,13695,16382
03551201_03551202,P30127 TO P878624,3-#2_AL_C,2.76,ABCN,12,172,4777,6818,7028,7873,0.1972,0.8576,0.3099,2.5785,172,7077,9573,10412,9536,11054
03551306_03551392,P75951 TO P872340,3-#6_CU_B,3.25,A CN,12,172,4348,6277,6464,---,0.2553,0.9211,0.3947,2.8514,172,6288,8509,9347,---,---
03551306A_03551307,P75951 TO P75950,3-#4_CU_C,3.48,ABCN,12,172,4165,6025,6202,6957,0.2889,0.9531,0.4402,2.9794,172,5948,8019,8857,8152,9260
03551307_03551308,P75950 TO P778113,3-#4_CU_C,3.75,ABCN,12,171,3942,5676,5844,6555,0.3593,0.994,0.5251,3.1351,171,5481,7275,8124,7508,8400
03551308_03551314,P778113 TO 355355,3-#4_CU_C,4.18,ABCN,12,171,3626,5173,5327,5973,0.472,1.0596,0.661,3.3841,171,4865,6321,7147,6654,7299
03551314_03551315,355355 TO P75947,3-#4_CU_C,4.49,ABCN,12,170,3419,4841,4987,5590,0.5553,1.108,0.7614,3.5681,170,4488,5757,6547,6131,6648
03551314_03551367,355355 TO P177855,3-#6_CU_B,4.37, BCN,12,170,3477,4902,5051,---,0.5538,1.0915,0.7534,3.497,170,4553,5813,6614,---,---
03551315_03551316,P75947 TO P75946,3-#4_CU_C,4.94,ABCN,12,170,3160,4427,4562,5112,0.6729,1.1764,0.9032,3.8281,170,4044,5109,5838,5513,5899
03551316_03551317,P75946 TO P872652,3-#4_CU_C,5.15,ABCN,12,170,3050,4252,4382,4910,0.7284,1.2087,0.9701,3.9506,170,3863,4850,5550,5261,5600
03551317_03551318,P872652 TO P875792,3-4/0_CU_C,5.49,ABCN,12,169,2926,4111,4234,4747,0.7462,1.2543,1.0061,4.1415,169,3717,4703,5380,5094,5430
03551318_03551319,P875792 TO P75944,3-#4_CU_C,5.69,ABCN,12,169,2834,3963,4083,4576,0.7999,1.2855,1.0707,4.26,169,3568,4489,5141,4885,5184
03551318_03551365,P875792 TO P875793,3-#4_CU_B,5.69,A CN,12,169,2837,3966,4086,---,0.798,1.2854,1.0685,4.254,169,3573,4494,5146,---,---
03551319_03551320,P75944 TO P178238,3-#4_CU_C,5.93,ABCN,12,169,2733,3801,3917,4389,0.8625,1.322,1.1463,4.3985,169,3409,4263,4885,4659,4922
03551320_03551321,P178238 TO P178239,3-#4_CU_C,6.16,ABCN,12,169,2645,3661,3773,4227,0.9209,1.3559,1.2167,4.5276,169,3272,4071,4667,4467,4701
03551321_03551322,P178239 TO P671396,3-#4_CU_C,6.41,ABCN,12,168,2551,3512,3620,4055,0.9872,1.3945,1.2966,4.6741,168,3129,3873,4441,4266,4472
03551322_03551323,P671396 TO P275033,3-#4_CU_C,6.62,ABCN,12,168,2475,3392,3498,3917,1.0442,1.4276,1.3653,4.7999,168,3016,3718,4262,4107,4293
03551323_03551324,P275033 TO P178240,3-#4_CU_C,6.78,ABCN,12,168,2422,3310,3414,3822,1.0857,1.4517,1.4153,4.8916,168,2938,3612,4140,3998,4171
03551323_03551326,P275033 TO P375565,3-#6_CU_B,6.84,AB N,12,168,2393,3245,3348,---,1.1324,1.462,1.4649,4.9217,168,2880,3518,4030,---,---
03551323_03551348,P275033 TO P275034,3-#6_CU_B,6.74, BCN,12,168,2429,3310,3414,---,1.0928,1.4466,1.4202,4.8671,168,2940,3605,4132,---,---
03551324_03551325,P178240 TO 355-T5-356,3-#4_CU_C,7.52,ABCN,12,167,2202,2969,3065,3429,1.2791,1.5642,1.6485,5.3191,167,2623,3189,3650,3557,3682
03551326_03551327,P375565 TO P871443,3-#4_CU_B,7.01,AB N,12,167,2339,3161,3262,---,1.1775,1.489,1.5193,5.0196,167,2803,3414,3910,---,---
03551327_03551333,P871443 TO P574111,3-#4_CU_B,7.25,AB N,12,167,2265,3046,3145,---,1.2427,1.5282,1.5979,5.1613,167,2699,3274,3747,---,---
03551333_03551334,P574111 TO P676547,3-#4_CU_B,7.3,AB N,12,167,2253,3028,3126,---,1.2535,1.5346,1.6109,5.1847,167,2682,3252,3722,---,---
03551333_03551335,P574111 TO P775242,3-#2A5005C,7.4,AB N,12,167,2221,2977,3074,---,1.2884,1.5501,1.6516,5.2467,167,2635,3188,3646,---,---
03551333_03551346,P574111 TO P877628,3-#2_AL_B,7.36,AB N,12,167,2235,3000,3098,---,1.2705,1.5444,1.6314,5.2207,167,2657,3219,3682,---,---
03551335_03551336,P775242 TO P775245,3-#2A5005C,7.53,AB N,12,167,2185,2920,3015,---,1.3273,1.5687,1.6973,5.3193,167,2583,3118,3564,---,---
03551335_03551345,P775242 TO P775243,3-#2A5005C,7.5,AB N,12,167,2194,2934,3030,---,1.3175,1.564,1.6858,5.3009,167,2596,3135,3585,---,---
03551336_03551337,P775245 TO P876694,3-#2_AL_B,7.57,AB N,12,167,2174,2902,2997,---,1.3387,1.5753,1.711,5.3436,167,2567,3097,3540,---,---
03551336_03551339,P775245 TO P875469,3-#2_AL_B,7.82,AB N,12,166,2110,2805,2898,---,1.4041,1.6136,1.7896,5.4832,166,2480,2982,3405,---,---
03551336_03551342,P775245 TO P775798,3-#2_AL_C,7.62,AB N,12,167,2160,2881,2976,---,1.3527,1.5831,1.7278,5.3744,167,2548,3072,3511,---,---
03551339_03551340,P875469 TO P876561,3-#2_AL_B,7.98,AB N,12,166,2069,2742,2833,---,1.4489,1.6398,1.8435,5.5789,166,2423,2908,3319,---,---
03551340_03551341,P876561 TO P876562,3-#2_AL_B,8.18,AB N,12,166,2023,2673,2763,---,1.4999,1.6696,1.9049,5.6878,166,2362,2828,3225,---,---
03551342_03551343,P775798 TO P775799,3-#2_AL_B,7.95,AB N,12,166,2076,2753,2845,---,1.4409,1.6347,1.8339,5.5628,166,2433,2921,3334,---,---
03551343_03551344,P775799 TO CG199999,3-#2_AL_B,7.96,AB N,12,166,2073,2750,2841,---,1.4436,1.6362,1.8371,5.5685,166,2430,2917,3329,---,---
03551346_03551347,P877628 TO P877629,3-#2_AL_B,7.55,AB N,12,167,2182,2919,3014,---,1.3218,1.5744,1.693,5.3302,167,2583,3121,3568,---,---
03551348_03551349,P275034 TO P275035,3-#6_CU_B,6.94, BCN,12,167,2352,3172,3274,---,1.1781,1.4798,1.5165,4.9848,167,2815,3422,3919,---,---
03551349_03551350,P275035 TO P275036,3-#6_CU_B,7.2, BCN,12,167,2261,3014,3113,---,1.2843,1.5213,1.6365,5.1314,167,2673,3219,3680,---,---
03551350_03551356,P275036 TO P275037,3-#6_CU_B,7.42, BCN,12,167,2187,2886,2983,---,1.3771,1.5574,1.7412,5.2595,167,2560,3060,3492,---,---
03551356_03551357,P275037 TO P378569,3-#6_CU_B,7.53, BCN,12,166,2151,2825,2921,---,1.4243,1.5758,1.7945,5.3246,166,2506,2985,3404,---,---
03551357_03551358,P378569 TO P275038,3-#6_CU_B,7.71, BCN,12,166,2097,2734,2829,---,1.4973,1.6043,1.877,5.4254,166,2427,2876,3274,---,---
03551358_03551359,P275038 TO P275039,3-#6_CU_B,7.81, BCN,12,166,2066,2684,2778,---,1.5396,1.6208,1.9247,5.4838,166,2383,2817,3203,---,---
03551359_03551360,P275039 TO P278985,3-#6_CU_B,8.17, BCN,12,165,1966,2519,2610,---,1.689,1.6791,2.0934,5.69,165,2241,2624,2975,---,---
03551359_03551361,P275039 TO P372329,3-#6_CU_B,7.94, BCN,12,166,2027,2620,2712,---,1.5957,1.6427,1.9881,5.5613,166,2327,2741,3114,---,---
03551361_03551362,P372329 TO P872510,3-#2_AL_B,8.18, BCN,12,165,1974,2543,2633,---,1.6579,1.679,2.0628,5.694,165,2259,2655,3013,---,---
03551361_03551364,P372329 TO P372330,3-#6_CU_B,8.23, BCN,12,165,1948,2491,2581,---,1.7168,1.6899,2.1249,5.7285,165,2216,2591,2936,---,---
03551362_03551363,P872510 TO P872511,3-#2_AL_B,8.34, BCN,12,165,1939,2492,2581,---,1.7006,1.704,2.1142,5.7852,165,2214,2598,2947,---,---
03551365_03551366,P875793 TO CG199999,3-#4_CU_B,5.7,A CN,12,169,2833,3959,4078,---,0.8007,1.287,1.0717,4.2597,169,3566,4484,5135,---,---
03551392_03551393,P872340 TO P472240,3-#6_CU_B,3.4,A CN,12,171,4200,6020,6201,---,0.3166,0.945,0.464,2.936,171,5908,7845,8723,---,---
03551394A_03551395,P77682 TO P372493,3-#6_CU_B,3.37, BCN,12,171,4209,5996,6178,---,0.3378,0.942,0.4834,2.9163,171,5857,7698,8598,---,---
035513A_03551301,P75952 TO P75976,3-#6_CU_B,3.11,A CN,12,172,4491,6481,6674,---,0.2251,0.898,0.3561,2.7607,172,6581,8956,9779,---,---
035516A_03551601,P75955 TO P276957,3-#2A5005C,4, BCN,12,172,3912,5868,6026,---,0.1981,1.0032,0.3772,3.2508,172,5880,8453,9058,---,---
035516A_03551605,P75955 TO P139522,3-#2_AL_B,4.03, BCN,12,172,3889,5831,5989,---,0.2048,1.0083,0.3856,3.2682,172,5829,8363,8976,---,---
035517A_03551701,P678712 TO P678713,3-#4_CU_B,4.27,A CN,12,172,3726,5583,5733,---,0.252,1.0447,0.4461,3.4075,172,5478,7771,8430,---,---
03551802_03551803,P77522 TO P77523,3-#4_CU_B,4.8, BCN,12,171,3417,5124,5260,---,0.3365,1.1216,0.5599,3.7125,171,4885,6835,7520,---,---
035520A_03552001,P75957 TO P277754,3-#6_CU_B,4.97,A CN,12,171,3361,5077,5210,---,0.3317,1.1343,0.5631,3.7936,171,4822,6808,7476,---,---
035524A_035525,355-1 TO P102595,3-336_AL_C,5.99,ABCN,12,171,2987,4663,4776,5385,0.2907,1.2533,0.5775,4.3556,171,4406,6537,7045,6516,7549
035525_03552501,P102595 TO P75961,3-336_AL_C,6.14,ABCN,12,171,2934,4591,4701,5301,0.2986,1.2723,0.5937,4.4397,171,4322,6422,6925,6406,7416
035525_035526,P102595 TO P574574,3-3/0_AL_C,6.06,ABCN,12,171,2960,4623,4734,5338,0.2982,1.2633,0.5888,4.3956,171,4358,6460,6970,6446,7459
035526_03552601,TS 355-T3-1458,3-#2_AL_C,6.47,ABCN,12,171,2792,4326,4431,4996,0.4078,1.3255,0.7206,4.6338,171,3979,5741,6316,5843,6629
035526_035527,P574574 TO 355-41R,3-#4_CU_B,6.12,ABCN,12,171,2934,4576,4686,5284,0.3143,1.2729,0.6082,4.4306,171,4297,6342,6865,6348,7324
0355501_0355502,P777441 TO P777442,3-#2A5005C,1.31, BCN,12,172,6491,8476,8811,---,0.1778,0.6852,0.2116,1.781,172,9487,11637,12879,---,---
0355502_0355503,P777442 TO P777443,3-#2A5005C,1.52, BCN,12,172,6056,7913,8222,---,0.2453,0.7175,0.2909,1.907,172,8477,10266,11509,---,---
0355503_0355504,P777443 TO P777444,3-#2A5005C,1.58, BCN,12,172,5942,7762,8064,---,0.2641,0.7265,0.313,1.9421,172,8230,9935,11169,---,---
0355504_0355505,P777444 TO P777445,3-#2A5005C,1.78, BCN,12,172,5592,7289,7571,---,0.3257,0.756,0.3853,2.0571,172,7509,8977,10166,---,---
0355505_0355506,P777445 TO P777446,3-#2A5005C,2.03, BCN,12,171,5199,6747,7008,---,0.4027,0.7929,0.4758,2.201,171,6761,7999,9112,---,---
0355906A_0355907,P76593 TO P76592,3-#6_CU_C,3.39,AB N,12,170,3800,4885,5069,---,0.7368,0.9827,0.8832,2.9709,170,4570,5328,6096,---,---
0355907_0355908,P76592 TO P875374,3-#6_CU_C,3.72,AB N,12,169,3505,4429,4602,---,0.8743,1.0348,1.0384,3.164,169,4111,4730,5397,---,---
0355907_0355944,P76592 TO P76591,3-#6_CU_B,3.58,AB N,12,169,3626,4612,4790,---,0.8158,1.0134,0.9723,3.0799,169,4295,4966,5673,---,---
0355908_0355920,P875374 TO P278339,3-#6_CU_B,3.9,AB N,12,169,3359,4204,4371,---,0.9506,1.0645,1.1246,3.2694,169,3893,4451,5067,---,---
0355920_0355921,P278339 TO P870343,3-#6_CU_B,3.94,AB N,12,169,3329,4158,4324,---,0.9669,1.0709,1.143,3.2919,169,3850,4395,5001,---,---
0355920_0355923,P278339 TO P278340,3-#6_CU_B,4.17,AB N,12,168,3160,3906,4065,---,1.0635,1.1086,1.2521,3.4252,168,3610,4093,4643,---,---
0355923_0355924,P278340 TO P278341,3-#6_CU_B,4.57,AB N,12,168,2905,3531,3681,---,1.2291,1.1731,1.439,3.6538,168,3261,3660,4132,---,---
0355924_0355930,P278341 TO P870351,3-#6_CU_B,4.86,AB N,12,167,2737,3292,3435,---,1.3531,1.2215,1.579,3.8249,167,3040,3391,3814,---,---
0355930_0355933,P870351 TO P278342,3-#6_CU_B,5.07,AB N,12,167,2633,3145,3284,---,1.4376,1.2544,1.6744,3.9415,167,2906,3230,3624,---,---
0355933_0355938,P278342 TO P875805,3-#6_CU_B,5.21,AB N,12,166,2562,3046,3182,---,1.499,1.2784,1.7438,4.0263,166,2816,3121,3497,---,---
0355933_0355939,P278342 TO P872877,3-#6_CU_B,5.28,AB N,12,166,2532,3004,3139,---,1.5258,1.2888,1.7741,4.0633,166,2778,3076,3444,---,---
0355939_0355943,P872877 TO P278343,3-#6_CU_B,5.5,AB N,12,166,2434,2870,3001,---,1.6173,1.3245,1.8774,4.1896,166,2657,2931,3275,---,---
0355944_0355945,P76591 TO P870163,3-#6_CU_B,3.78,AB N,12,169,3457,4351,4522,---,0.8989,1.0459,1.0662,3.1947,169,4038,4634,5282,---,---
0355944_0355946,P76591 TO P776444,3-#2_AL_B,3.69,AB N,12,169,3543,4498,4672,---,0.8462,1.0312,1.0089,3.1449,169,4180,4827,5512,---,---
0355945_03551314A,P870163 TO 355355,3-#6_CU_B,3.91,AB N,12,169,3354,4194,4362,---,0.9529,1.0669,1.1271,3.2692,169,3887,4441,5054,---,---
0355946_0355947,P776444 TO P776445,3-#4_CU_B,3.96,AB N,12,169,3364,4252,4418,---,0.9161,1.0731,1.0931,3.2966,169,3936,4534,5170,---,---
0355947_0355948,P776445 TO P271276,3-#6_CU_B,4.06,AB N,12,169,3289,4137,4300,---,0.9574,1.0893,1.1398,3.3536,169,3826,4391,5001,---,---
FU 03551301_03551301A,P75976,Device Conductor 10A,3.12,A CN,12,172,4491,6481,6674,---,0.2251,0.898,0.3561,2.7607,172,6581,8956,9779,---,---
FU 03551308_03551308A,P778113,Device Conductor 20A,3.76,A CN,12,171,3942,5676,5844,---,0.3593,0.994,0.5251,3.1351,171,5481,7275,8124,---,---
FU 03551327_03551328,355-1686B,Device Conductor 30A,7.02,A  N,12,167,2339,---,---,---,1.1775,1.4891,1.5193,5.0196,167,2803,---,---,---,---
FU 03551337_03551337A,P876694,Device Conductor 10A,7.58,AB N,12,167,2174,2902,2997,---,1.3387,1.5754,1.711,5.3436,167,2567,3097,3540,---,---
FU 03551350_03551350A,P275036,Device Conductor 10A,7.21, BCN,12,167,2261,3014,3113,---,1.2843,1.5213,1.6365,5.1314,167,2673,3219,3680,---,---
FU 03551367_03551367A,P177855,Device Conductor 75A,4.38, BCN,12,170,3477,4902,5051,---,0.5538,1.0915,0.7534,3.497,170,4553,5813,6614,---,---
FU 0355908_0355908A,P875374,Device Conductor 60A,3.73,A  N,12,169,3505,---,---,---,0.8743,1.0348,1.0384,3.164,169,4111,---,---,---,---
FU 0355921_0355921A,P870343,Device Conductor 10A,3.95,AB N,12,169,3329,4158,4324,---,0.9669,1.0709,1.143,3.2919,169,3850,4395,5001,---,---
FU 0355924_0355924A,P278341,Device Conductor 15A,4.58,AB N,12,168,2905,3531,3681,---,1.2291,1.1731,1.439,3.6538,168,3261,3660,4132,---,---
FU 0355930_0355930A,P870351,Device Conductor 15A,4.87,AB N,12,167,2737,3292,3435,---,1.3531,1.2215,1.579,3.8249,167,3040,3391,3814,---,---
FU 0355933_0355933A,P278342,Device Conductor 15A,5.08,AB N,12,167,2633,3145,3284,---,1.4376,1.2544,1.6744,3.9415,167,2906,3230,3624,---,---
FU 0355939_0355939A,P872877,Device Conductor 30A,5.29,AB N,12,166,2532,3004,3139,---,1.5258,1.2888,1.7741,4.0633,166,2778,3076,3444,---,---
RC 035527_035527A,355-41R,Device Conductor 630A,6.13,ABCN,12,171,2934,4576,4686,5284,0.3143,1.2729,0.6082,4.4306,171,4297,6342,6865,6348,7323
