Section - Id,Fault - Location,Phase - Conductor,Dist - kFt,Phase - Config,Nominal - kV,Symmetrical Amps - LG Min,Symmetrical Amps - LG Max,Symmetrical Amps - LL,Symmetrical Amps - LLG,Symmetrical Amps - 3Ph,Cumulative Impedance (Ohms) - R1,Cumulative Impedance (Ohms) - X1,Cumulative Impedance (Ohms) - R0,Cumulative Impedance (Ohms) - X0,Asymmetrical Amps - LG Min,Asymmetrical Amps - LG Max,Asymmetrical Amps - LL,Asymmetrical Amps - LLG,Asymmetrical Amps - 3Ph Avg,Asymmetrical Amps - 3Ph Max
FU 0971514_0971514A,P111657,Device Conductor 10A,32.25,ABCN,12,154,631,984,1005,1136,3.3012,5.128,5.0068,20.5915,154,801,1106,1277,1208,1278
FU 0971532_0971532A,P212357,Device Conductor 100A,40.3, BCN,12,141,472,649,667,---,6.6651,6.4084,8.8052,25.3031,141,542,673,767,---,---
FU 0971614_0971614A,P111597,Device Conductor 15A,40.97,ABCN,12,140,461,630,648,728,6.946,6.5092,9.1224,25.7099,140,528,652,742,740,753
FU 0971936_0971936A,P718473,Device Conductor 15A,33.9, BCN,12,157,626,1039,1059,---,2.2964,5.3,4.0907,21.45,157,852,1278,1442,---,---
SW 0971178_0971178A,BRGD,Device Conductor 300A,40.61,ABCN,12,141,467,640,658,739,6.7951,6.452,8.952,25.4979,141,536,663,755,753,766
0971170A_0971525,P111588 TO H2968078800,2/0AL_PECN,38.15,ABCN,12,144,508,720,739,831,5.7355,6.0479,7.7935,24.0071,144,595,756,866,852,872
0971171A_0971528,P111589 TO D7614476147,#2_CU_PECN,38.6,ABCN,12,144,502,707,726,816,5.8947,6.1046,7.9727,24.1835,144,586,740,848,836,855
0971178A_0971179,P111596 TO P111605,3-#6_CU_C,41.06,ABCN,12,140,460,628,646,725,6.9824,6.523,9.1636,25.761,140,526,649,739,737,750
0971179_0971180,P111605 TO P111606,3-#6_CU_C,41.33,ABCN,12,140,456,621,638,717,7.0969,6.5663,9.2928,25.9217,140,520,641,729,728,740
0971180_0971181,P111606 TO P111607,3-#6_CU_C,41.49,ABCN,12,140,454,616,634,712,7.1614,6.5908,9.3656,26.0123,140,517,636,723,723,735
0971181_0971182,P111607 TO P111608,3-#6_CU_C,41.84,ABCN,12,139,449,607,625,701,7.3082,6.6464,9.5314,26.2185,139,510,626,711,712,723
0971182_0971183,P111608 TO P111609,3-#6_CU_C,42.55,ABCN,12,138,439,590,607,681,7.6053,6.759,9.8669,26.6358,138,497,607,687,691,700
0971183_0971184,P111609 TO P111610,3-#6_CU_C,43.19,ABCN,12,137,430,574,592,663,7.8756,6.8614,10.1722,27.0154,137,485,590,667,672,681
0971184_0971185,P111610 TO P113152,3-#6_CU_C,43.7,ABCN,12,137,424,563,580,650,8.0867,6.9414,10.4105,27.3118,137,477,577,652,658,667
0971185_0971186,P113152 TO P203815,3-#6_CU_C,44.12,ABCN,12,136,419,554,571,639,8.2622,7.0079,10.6087,27.5582,136,469,567,640,647,655
0971185_0971649,P113152 TO P245123,3-#2_AL_C,43.93,AB N,12,136,422,559,576,---,8.1487,6.9766,10.485,27.4464,136,474,573,648,---,---
0971186_0971187,P203815 TO P113153,3-#4_CU_C,44.2,ABCN,12,136,418,553,570,638,8.2828,7.0199,10.6336,27.6038,136,468,566,639,646,654
0971478A_0971479,P116816 TO H3021579012,#4_CU_PECN,34.45,A CN,12,151,590,895,916,---,3.9451,5.4194,5.8746,21.5968,151,729,982,1132,---,---
0971479_0971480,H3021579012 TO D3021679012,#4_CU_PECN,34.58,A CN,12,151,588,891,912,---,3.9875,5.4267,5.9505,21.6151,151,725,976,1124,---,---
0971505A_0971506,P203159 TO D169922,1C#2SAPECN,34.51,A CN,12,151,586,892,913,---,3.9161,5.4678,5.8005,21.7899,151,728,982,1133,---,---
0971514A_0971515,P111657 TO P112741,3-#6_CU_C,32.52,ABCN,12,153,624,968,990,1118,3.4147,5.171,5.1349,20.7508,153,788,1083,1251,1185,1251
0971515_0971516,P112741 TO P112742,3-#6_CU_C,32.75,ABCN,12,153,618,956,977,1103,3.5087,5.2066,5.2411,20.8828,153,778,1064,1230,1167,1229
0971516_0971517,P112742 TO P311523,3-#6_CU_C,32.84,ABCN,12,153,616,950,971,1097,3.5493,5.222,5.2869,20.9399,153,774,1057,1221,1160,1220
0971517_0971518,P311523 TO P112743,3-#6_CU_B,33.03,AB N,12,152,612,940,961,---,3.6269,5.2522,5.3746,21.047,152,766,1042,1204,---,---
0971518_0971519,P112743 TO P112744,3-#6_CU_B,33.31,AB N,12,152,605,925,946,---,3.7419,5.2971,5.5044,21.2057,152,754,1021,1180,---,---
0971518_0971520,P112743 TO P168480,3-#2_AL_B,33.35,AB N,12,152,605,927,948,---,3.7124,5.3022,5.4774,21.2296,152,756,1025,1184,---,---
0971525_0971526,H2968078800 TO H2979978752,2/0AL_PECN,38.51,ABCN,12,144,505,715,734,826,5.7943,6.0634,7.963,24.0818,144,590,750,859,846,866
0971526_0971527,H2979978752 TO D2980178717,2/0AL_PECN,38.84,ABCN,12,144,502,711,730,821,5.8502,6.078,8.124,24.1527,144,586,745,851,841,860
0971532A_0971533,P212357 TO P212358,3-#6_CU_B,40.7, BCN,12,141,465,637,655,---,6.8344,6.4744,8.9964,25.5367,141,534,660,751,---,---
0971533_0971534,P212358 TO P212359,3-#6_CU_B,41.02, BCN,12,140,461,629,647,---,6.9652,6.5254,9.1442,25.7174,140,527,650,740,---,---
0971534_0971535,P212359 TO P212360,3-#6_CU_B,41.35, BCN,12,140,456,620,638,---,7.105,6.5799,9.302,25.9104,140,520,640,727,---,---
0971535_0971536,P212360 TO P212361,3-#6_CU_B,41.47, BCN,12,140,454,616,634,---,7.1544,6.5992,9.3578,25.9786,140,518,637,723,---,---
0971536_0971537,P212361 TO P212362,3-#6_CU_B,41.73, BCN,12,139,450,610,627,---,7.264,6.6419,9.4815,26.1298,139,513,629,714,---,---
0971537_0971538,P212362 TO P198916,3-#6_CU_B,41.84, BCN,12,139,449,607,625,---,7.3086,6.6593,9.5319,26.1914,139,510,626,710,---,---
0971538_0971539,P198916 TO P212363,3-#6_CU_B,41.93, BCN,12,139,448,604,622,---,7.3482,6.6748,9.5767,26.2461,139,509,623,707,---,---
0971539_0971540,P212363 TO P710643,3-#2_AL_B,42.12, BCN,12,139,445,601,619,---,7.3978,6.7037,9.6363,26.352,139,506,619,703,---,---
0971539_0971546,P212363 TO P212364,3-#6_CU_B,41.98, BCN,12,139,447,603,621,---,7.3673,6.6822,9.5982,26.2725,139,508,622,706,---,---
0971540_0971541,P710643 TO P710642,3-#2_AL_B,42.33, BCN,12,139,443,597,615,---,7.4553,6.7373,9.7053,26.4746,139,503,615,698,---,---
0971541_0971542,P710642 TO P714966,3-#2_AL_B,42.52, BCN,12,138,441,594,611,---,7.5058,6.7668,9.7661,26.5825,138,500,612,694,---,---
0971542_0971543,P714966 TO P714967,3-#2_AL_B,42.78, BCN,12,138,438,589,607,---,7.5739,6.8066,9.848,26.7279,138,497,607,688,---,---
0971543_0971544,P714967 TO P714968,3-#2_AL_B,42.97, BCN,12,138,436,586,603,---,7.6243,6.836,9.9085,26.8354,138,494,603,684,---,---
0971544_0971545,P714968 TO P714969,3-#2_AL_B,43.14, BCN,12,138,434,583,600,---,7.6716,6.8637,9.9654,26.9364,138,492,600,680,---,---
0971546_0971547,P212364 TO P212365,3-#6_CU_B,42.15, BCN,12,139,445,599,617,---,7.4384,6.7099,9.6785,26.3706,139,504,617,700,---,---
0971546_0971588,P212364 TO P216969,3-#6_CU_B,42.05, BCN,12,139,446,602,619,---,7.395,6.693,9.6294,26.3106,139,506,620,703,---,---
0971547_0971548,P212365 TO P212366,3-#6_CU_B,42.39, BCN,12,138,441,593,610,---,7.5412,6.75,9.7946,26.5125,138,500,610,692,---,---
0971548_0971549,P212366 TO P316528,3-#6_CU_B,42.7, BCN,12,138,437,585,603,---,7.6702,6.8003,9.9402,26.6906,138,494,602,682,---,---
0971549_0971550,P316528 TO P316529,3-#6_CU_B,42.95, BCN,12,138,434,579,597,---,7.7728,6.8403,10.0561,26.8322,138,490,596,674,---,---
0971550_0971551,P316529 TO P316530,3-#6_CU_B,43.39, BCN,12,137,428,569,587,---,7.9587,6.9128,10.266,27.0888,137,482,584,660,---,---
0971550_0971584,P316529 TO P519370,3-#4_CU_B,43.21, BCN,12,137,431,575,593,---,7.8412,6.8813,10.1385,26.9806,137,486,591,669,---,---
0971551_0971552,P316530 TO P192540,3-#6_CU_B,43.48, BCN,12,137,427,567,584,---,7.996,6.9273,10.3081,27.1402,137,480,582,658,---,---
0971552_0971553,P192540 TO P316531,3-#6_CU_B,43.6, BCN,12,137,425,565,582,---,8.0439,6.946,10.3622,27.2064,137,478,579,654,---,---
0971552_0971554,P192540 TO P192539,3-#2_AL_B,43.58, BCN,12,137,426,566,583,---,8.0218,6.9425,10.3392,27.1955,137,479,580,656,---,---
0971554_0971555,P192539 TO P192538,3-#2_AL_B,43.82, BCN,12,136,423,562,579,---,8.087,6.9806,10.4176,27.3347,136,476,576,651,---,---
0971555_0971556,P192538 TO P192537,3-#2_AL_B,44, BCN,12,136,421,559,576,---,8.1348,7.0085,10.475,27.4367,136,474,573,647,---,---
0971556_0971557,P192537 TO P193647,3-#2_AL_B,44.24, BCN,12,136,419,555,572,---,8.1973,7.045,10.5501,27.5701,136,471,569,643,---,---
0971557_0971558,P193647 TO P192536,3-#2_AL_B,44.55, BCN,12,136,416,550,567,---,8.2806,7.0936,10.6502,27.7478,136,467,564,637,---,---
0971558_0971559,P192536 TO P192535,3-#2_AL_B,44.73, BCN,12,136,414,547,564,---,8.3294,7.1222,10.7089,27.852,136,465,561,633,---,---
0971559_0971560,P192535 TO P193648,3-#2_AL_B,45.01, BCN,12,135,411,543,560,---,8.4045,7.166,10.7992,28.0123,135,461,557,628,---,---
0971560_0971561,P193648 TO P192534,3-#2_AL_B,45.11, BCN,12,135,410,542,559,---,8.4303,7.1811,10.8302,28.0675,135,460,555,626,---,---
0971561_0971562,P192534 TO P192533,3-#2_AL_B,45.28, BCN,12,135,409,539,556,---,8.4749,7.2072,10.8839,28.1628,135,458,553,623,---,---
0971562_0971563,P192533 TO P192532,3-#2_AL_B,45.59, BCN,12,135,406,535,551,---,8.558,7.2557,10.9838,28.3401,135,454,548,618,---,---
