Section - Id,Section - Phase Cond,Section - Amp Rating,Section - Dist,Section - Phasing,Volts - Out,Volts - Drop,Into - Amps,Into - pf,% Ldg - Cont,% Ldg - Emer,In - kW,In - kvar,Into - kW,Into - kvar,Into - c.kVA,Into - Cust,Loss - kW,Loss - kvar,Load Cat,Desc
03555603_03555604,1C#2SAPECN,108,12.35,ABCN,124.4,0,2.9,97.3,3,3,61,14,61,14,150,1,0,0,---,D121508 TO D121507
035557A_03555701,3-#6_CU_B,130,11.88,A CN,124.4,0,1.5,97.3,1,1,0,0,21,5,50,2,0,0,---,P170885 TO P274195
FU 03552555_03552555A,Device Conductor 50A,50,8.75, B N,125.3,0,8.5,97.3,17,17,0,0,60,14,150,22,0,0,---,P170920
FU 03552635_03552635A,Device Conductor 30A,30,10.25,AB N,125.5,0,1.4,97.3,5,5,0,0,20,5,50,4,0,0,---,P33550
FU 03552639_03552639A,Device Conductor 10A,10,9.44, B N,125.4,0,1.4,97.3,14,14,0,0,10,2,25,12,0,0,---,P274913
FU 03552641_03552641A,Device Conductor 15A,15,9.56,AB N,125.5,0,3.5,97.3,24,24,0,0,50,12,125,28,0,0,---,P378204
SW 03552580_03552580A,Device Conductor 600A,600,9.6,ABCN,125.5,0,35.6,97.3,6,6,0,0,753,179,1825,328,0,0,---,355-11
SW 03554411_03554411A,Device Conductor 300A,300,10.28,A CN,124.5,0,0.7,97.3,0,0,0,0,10,2,25,3,0,0,---,BRGD
03552555A_03552556,1C#2SAPECN,108,8.96, B N,125.3,0,8.5,97.3,8,8,20,5,60,14,150,22,0,0,---,P170920 TO D169902
03552556_03552557,1C#2SAPECN,108,9.21, B N,125.3,0,5.7,97.3,5,5,10,2,40,9,100,15,0,0,---,D169902 TO D169920
03552557_03552558,1C#2SAPECN,108,9.39, B N,125.3,0,4.2,97.3,4,4,10,2,30,7,75,10,0,0,---,D169920 TO D169921
03552558_03552559,1C#2SAPECN,108,9.6, B N,125.3,0,2.8,97.3,3,3,20,5,20,5,50,5,0,0,---,D169921 TO D169924
03552559_03552560,1C#2SAPECN,108,9.84, B N,125.3,0,0,100,0,0,0,0,0,0,0,0,0,0,---,D169924 TO D169926
03552580A_03552581,1000AXLPEP,520,9.83,ABCN,125.5,0,35.6,97.3,7,7,0,0,753,179,1825,328,0,0,---,355-11 TO M2437084190
03552581_03552582,1000AXLPEP,520,10.1,ABCN,125.5,0,0,100,0,0,0,0,0,0,0,0,0,0,---,TS 355-T2-1458
03552581_03552583,2/0AL_PECN,158,10.19,ABCN,125.5,0,35.6,97.3,23,23,0,0,753,179,1825,328,0,0,---,M2437084190 TO M2436784216
03552583_03552584,2/0AL_PECN,158,10.25,ABCN,125.5,0,35.6,97.3,23,23,0,0,753,179,1825,328,0,0,---,M2436784216 TO D2436084125
03552635A_03552636,1C#2SAPECN,108,10.47,AB N,125.5,0,1.4,97.3,1,1,10,2,20,5,50,4,0,0,---,P33550 TO D100209
03552636_03552637,1C#2SAPECN,108,10.87,AB N,125.5,0,0.7,97.3,1,1,10,2,10,2,25,2,0,0,---,D100209 TO D100210
03552639A_03552640,#2_CU_PECN,135,9.54, B N,125.4,0,1.4,97.3,1,1,10,2,10,2,25,12,0,0,---,P274913 TO D2434084190
03552641A_03552642,3-#6_CU_B,130,9.82,AB N,125.5,0,3.5,97.3,3,3,20,5,50,12,125,28,0,0,---,P378204 TO P378205
03552642_03552643,3-#6_CU_B,130,10.01,AB N,125.5,0,2.1,97.3,2,2,20,5,30,7,75,16,0,0,---,P378205 TO P477766
03552643_03552644,3-#6_CU_B,130,10.17,AB N,125.5,0,0.7,97.3,1,1,0,0,10,2,25,8,0,0,---,P477766 TO P477767
03554411A_03554412,1C#2SAPECN,108,10.65,A CN,124.5,0,0.7,97.3,1,1,10,2,10,2,25,3,0,0,---,P574718 TO D122321
03554801_03554802,3-#6_CU_B,130,10.83,AB N,124.5,0,6.1,97.2,5,5,6,1,85,20,215,11,0,0,---,P172941 TO P172942
03554802_03554803,3-#4_CU_B,180,11.08,AB N,124.5,0,5.6,97.2,3,3,0,0,79,19,200,7,0,0,---,P172942 TO P377753
03554803_03554804,3-#4_CU_B,180,11.27,AB N,124.5,0,5.6,97.2,3,3,10,2,79,19,200,7,0,0,---,P377753 TO P377754
03554804_03554805,3-#2_CU_B,230,11.47,AB N,124.4,0,4.9,97.3,2,2,20,5,69,17,175,5,0,0,---,P377754 TO P876685
03554805_03554806,3-#2_AL_C,180,11.56,AB N,124.4,0,3.5,97.3,2,2,0,0,49,12,125,3,0,0,---,P876685 TO P198740
03554901_03554902,#2_CU_PECN,135,10.97,AB N,124.5,0,1.4,97.3,1,1,20,5,20,5,50,1,0,0,---,H2354082455 TO D2355082780
03554901_03554903,1C#2SAPECN,108,11.55,ABCN,124.4,0,5.9,97.3,5,5,0,0,124,29,300,34,0,0,---,H2354082455 TO H110376
03554903_03554904,1C#2SAPECN,108,11.6, B N,124.4,0,4.2,97.3,4,4,10,2,30,7,75,9,0,0,---,H110376 TO D118134
03554903_03554907,1C#2SAPECN,108,11.92,  CN,124.3,0,9.3,97.4,9,9,11,3,65,15,150,14,0,0,---,H110376 TO D118136
03554903_03554913,1C#2SAPECN,108,12.11,A  N,124.5,0,4.2,97.2,4,4,0,0,30,7,75,11,0,0,---,H110376 TO H110377
03554904_03554905,1C#2SAPECN,108,11.87, B N,124.4,0,2.8,97.3,3,3,0,0,20,5,50,5,0,0,---,D118134 TO D118135
03554905_03554906,1C#2SAPECN,108,11.88, B N,124.4,0,2.8,97.3,3,3,20,5,20,5,50,5,0,0,---,D118135 TO CG199999
03554907_03554908,1C#2SAPECN,108,12.27,  CN,124.3,0,7.7,97.4,7,7,0,0,54,13,125,10,0,0,---,D118136 TO D128220
03554908_03554909,1C#2SAPECN,108,12.28,  CN,124.3,0,1.5,97.4,1,1,11,3,11,3,25,1,0,0,---,D128220 TO CG199999
03554908_03554910,1C#2SAPECN,108,12.42,  CN,124.3,0,6.2,97.4,6,6,0,0,43,10,100,9,0,0,---,D128220 TO D118139
03554910_03554911,1C#2SAPECN,108,12.43,  CN,124.3,0,3.1,97.4,3,3,22,5,22,5,50,4,0,0,---,D118139 TO CG199999
03554910_03554912,1C#2SAPECN,108,12.69,  CN,124.3,0,3.1,97.4,3,3,22,5,22,5,50,5,0,0,---,D118139 TO D118140
03554913_03554914,1C#2SAPECN,108,12.52,A  N,124.5,0,4.2,97.2,4,4,0,0,30,7,75,11,0,0,---,H110377 TO D118137
03554914_03554915,1C#2SAPECN,108,12.53,A  N,124.5,0,1.4,97.2,1,1,10,2,10,2,25,5,0,0,---,D118137 TO CG199999
03554914_03554916,1C#2SAPECN,108,12.92,A  N,124.5,0,2.8,97.2,3,3,0,0,20,5,50,6,0,0,---,D118137 TO D118138
