Section - Id,Fault - Location,Phase - Conductor,Dist - kFt,Phase - Config,Nominal - kV,Symmetrical Amps - LG Min,Symmetrical Amps - LG Max,Symmetrical Amps - LL,Symmetrical Amps - LLG,Symmetrical Amps - 3Ph,Cumulative Impedance (Ohms) - R1,Cumulative Impedance (Ohms) - X1,Cumulative Impedance (Ohms) - R0,Cumulative Impedance (Ohms) - X0,Asymmetrical Amps - LG Min,Asymmetrical Amps - LG Max,Asymmetrical Amps - LL,Asymmetrical Amps - LLG,Asymmetrical Amps - 3Ph Avg,Asymmetrical Amps - 3Ph Max
Feeder 0909,---,---,0,ABCN,12,173,7707,6266,7500,7235,0.0633,0.9555,0.0281,0.7813,173,12593,10150,12254,9626,11720
0909_09091,909 TO M120836,1000AXLPEP,0.27,ABCN,12,173,7633,6206,7428,7166,0.0712,0.9642,0.0506,0.7878,173,12308,9980,11978,9487,11524
09091_09092,M120836 TO H119754,1000AXLPEP,0.77,ABCN,12,173,7496,6098,7296,7041,0.0857,0.9802,0.0923,0.7999,173,11808,9679,11493,9239,11176
09092_09093,H119754 TO H119755,1000AXLPEP,1.55,ABCN,12,173,7285,5936,7092,6854,0.1082,1.005,0.1566,0.8185,173,11100,9245,10806,8880,10676
09093_09094,H119755 TO 909-1,1000AXLPEP,1.76,ABCN,12,173,7229,5893,7037,6804,0.1143,1.0118,0.174,0.8235,173,10921,9134,10632,8788,10547
SW 09094_09094A,909-1,Device Conductor 900A,1.77,ABCN,12,173,7225,5891,7034,6803,0.1143,1.012,0.174,0.8246,173,10916,9132,10628,8785,10545
09094A_09095,909-1 TO Z12847,3-636_AL_C,1.82,ABCN,12,173,7130,5858,6961,6764,0.1156,1.0177,0.1779,0.8508,173,10769,9075,10514,8732,10478
09095_09096,Z12847 TO 909-17R,3-3/0_AL_C,1.91,ABCN,12,173,6925,5775,6802,6669,0.1258,1.0313,0.1933,0.9055,173,10385,8878,10201,8565,10252
RC 09096_09096A,909-17R,Device Conductor 630A,1.92,ABCN,12,173,6925,5775,6802,6668,0.1258,1.0313,0.1933,0.9055,173,10385,8878,10201,8565,10252
09096A_09097,909-17R TO Z12846,3-3/0_AL_C,2.06,ABCN,12,172,6654,5661,6594,6537,0.1402,1.0506,0.2151,0.983,172,9886,8613,9797,8339,9946
09097_09098,Z12846 TO Z113393,3-3/0_AL_C,2.34,ABCN,12,172,6155,5438,6217,6279,0.1699,1.0903,0.2599,1.1427,172,8992,8112,9083,7907,9367
09098_0909801,Z113393 TO P217478,3-#6_CU_B,2.44,A CN,12,172,5959,5329,6060,---,0.2106,1.1061,0.3058,1.1988,172,8478,7721,8621,---,---
09098_0909804,Z113393 TO P113394,3-#6_CU_C,2.68,ABCN,12,172,5502,5059,5688,5842,0.3121,1.1441,0.4204,1.3423,172,7402,6879,7652,6936,7944
09098_0909812,Z113393 TO P113298,3-#6_CU_C,2.46,ABCN,12,172,5910,5303,6021,6123,0.2211,1.1097,0.3177,1.2146,172,8353,7628,8511,7532,8808
09098_09099,Z113393 TO Z210656,3-3/0_AL_C,2.61,ABCN,12,172,5730,5232,5898,6041,0.1992,1.1294,0.304,1.3,172,8256,7670,8497,7522,8857
09099_090910,Z210656 TO Z817058,3-3/0_AL_C,2.96,ABCN,12,172,5271,4992,5550,5764,0.2359,1.1785,0.3596,1.4978,172,7483,7176,7880,7087,8286
090910_090911,Z817058 TO Z12843,3-3/0_AL_C,3.3,ABCN,12,172,4890,4778,5258,5517,0.2716,1.2262,0.4133,1.6893,172,6860,6752,7376,6710,7797
090911_090912,Z12843 TO Z16470,3-3/0_AL_C,3.61,ABCN,12,172,4577,4590,5012,5300,0.3052,1.2711,0.464,1.87,172,6360,6394,6965,6388,7384
090912_090913,Z16470 TO Z12842,3-3/0_AL_C,3.87,ABCN,12,171,4349,4446,4829,5134,0.3327,1.3079,0.5056,2.0182,171,6001,6127,6664,6146,7075
090913_09091301,Z12842 TO P311110,3-#6_CU_C,3.91,ABCN,12,171,4308,4414,4792,5097,0.3482,1.3138,0.5232,2.04,171,5907,6036,6571,6073,6970
090913_090914,Z12842 TO Z319718,3-3/0_AL_C,4.02,ABCN,12,171,4232,4370,4735,5046,0.3479,1.3282,0.5285,2.0998,171,5819,5989,6511,6020,6916
090914_090915,Z319718 TO Z12841,3-3/0_AL_C,4.21,ABCN,12,171,4087,4273,4615,4934,0.368,1.3551,0.5589,2.2081,171,5595,5815,6319,5861,6715
090915_090916,Z12841 TO P318215,3-3/0_AL_C,4.34,ABCN,12,171,3991,4207,4535,4858,0.3821,1.374,0.5802,2.2839,171,5448,5699,6191,5754,6580
090916_09091601,P318215 TO P318216,3-#6_CU_B,4.43, BCN,12,171,3905,4133,4450,---,0.4214,1.3893,0.6246,2.3382,171,5257,5500,5991,---,---
090916_090917,P318215 TO P214232,3-3/0_AL_C,4.42,ABCN,12,171,3934,4168,4487,4812,0.3908,1.3856,0.5934,2.3307,171,5361,5629,6116,5690,6500
090917_090918,P214232 TO Z214233,3-3/0_AL_C,4.53,ABCN,12,171,3862,4117,4426,4754,0.4022,1.4008,0.6105,2.3917,171,5252,5541,6020,5609,6399
090918_090919,Z214233 TO P112705,3-3/0_AL_C,4.69,ABCN,12,171,3757,4043,4337,4668,0.4193,1.4237,0.6364,2.484,171,5095,5413,5881,5490,6250
090919_090920,P112705 TO Z819069,3-3/0_AL_C,4.74,ABCN,12,171,3727,4021,4312,4643,0.4244,1.4305,0.6441,2.5114,171,5050,5376,5841,5456,6208
090920_090921,Z819069 TO Z16464,3-3/0_AL_C,4.94,ABCN,12,171,3608,3933,4208,4542,0.4456,1.4589,0.6761,2.6254,171,4871,5227,5681,5317,6036
090921_09092101,Z16464 TO P118742,3-#6_CU_C,5.14,ABCN,12,170,3462,3796,4056,4383,0.5276,1.4899,0.7687,2.7405,170,4559,4887,5341,5034,5643
090921_090922,Z16464 TO Z12839,3-3/0_AL_C,5.1,ABCN,12,171,3515,3864,4126,4461,0.4631,1.4822,0.7025,2.7195,171,4733,5110,5556,5208,5901
