Section - Id,Section - Phase Cond,Section - Amp Rating,Section - Dist,Section - Phasing,Volts - Out,Volts - Drop,Into - Amps,Into - pf,% Ldg - Cont,% Ldg - Emer,In - kW,In - kvar,Into - kW,Into - kvar,Into - c.kVA,Into - Cust,Loss - kW,Loss - kvar,Load Cat,Desc
0909_09091,1000AXLPEP,520,0.27,ABCN,126,0,165,100,32,32,0,0,3601,-1,12281,473,1,1,---,909 TO M120836
09091_09092,1000AXLPEP,520,0.77,ABCN,125.9,0,165,100,32,32,0,0,3600,-1,12281,473,1,1,---,M120836 TO H119754
09092_09093,1000AXLPEP,520,1.55,ABCN,125.9,0.1,165,100,32,32,0,0,3599,-3,12281,473,2,2,---,H119754 TO H119755
09093_09094,1000AXLPEP,520,1.76,ABCN,125.9,0,165,100,32,32,0,0,3597,-5,12281,473,0,1,---,H119755 TO 909-1
SW 09094_09094A,Device Conductor 900A,900,1.77,ABCN,125.9,0,165,100,18,18,0,0,3596,-5,12281,473,0,0,---,909-1
09094A_09095,3-636_AL_C,770,1.82,ABCN,125.9,0,165,100,21,21,0,0,3596,-5,12281,473,0,0,---,909-1 TO Z12847
09095_09096,3-3/0_AL_C,300,1.91,ABCN,125.8,0,165,100,55,55,0,0,3596,-6,12281,473,1,1,---,Z12847 TO 909-17R
RC 09096_09096A,Device Conductor 630A,630,1.92,ABCN,125.8,0,165,100,26,26,0,0,3595,-7,12281,473,0,0,---,909-17R
09096A_09097,3-3/0_AL_C,300,2.06,ABCN,125.8,0,165,100,55,55,1,0,3595,-7,12281,473,1,2,---,909-17R TO Z12846
09097_09098,3-3/0_AL_C,300,2.34,ABCN,125.7,0.1,164.9,100,55,55,0,0,3593,-8,12271,471,2,3,---,Z12846 TO Z113393
09098_0909801,3-#6_CU_B,130,2.44,A CN,125.7,0,0.2,-98.5,0,0,0,0,2,0,15,1,0,0,---,Z113393 TO P217478
09098_0909804,3-#6_CU_C,130,2.68,ABCN,125.7,0,0.6,-98.5,0,0,4,-1,12,-2,85,8,0,0,---,Z113393 TO P113394
09098_0909812,3-#6_CU_C,130,2.46,ABCN,125.7,0,0.3,-98.5,0,0,0,0,7,-1,50,4,0,0,---,Z113393 TO P113298
09098_09099,3-3/0_AL_C,300,2.61,ABCN,125.6,0.1,163.9,100,55,55,0,0,3568,-8,12121,458,2,3,---,Z113393 TO Z210656
09099_090910,3-3/0_AL_C,300,2.96,ABCN,125.5,0.1,163.9,100,55,55,2,0,3566,-11,12121,458,3,4,---,Z210656 TO Z817058
090910_090911,3-3/0_AL_C,300,3.3,ABCN,125.4,0.1,163.8,100,55,55,0,0,3561,-14,12106,456,3,4,---,Z817058 TO Z12843
090911_090912,3-3/0_AL_C,300,3.61,ABCN,125.3,0.1,163.8,100,55,55,0,0,3558,-18,12106,456,3,4,---,Z12843 TO Z16470
090912_090913,3-3/0_AL_C,300,3.87,ABCN,125.2,0.1,163.8,100,55,55,0,0,3555,-22,12106,456,2,3,---,Z16470 TO Z12842
090913_09091301,3-#6_CU_C,130,3.91,ABCN,125.2,0,0.3,-98.5,0,0,0,0,6,-1,40,3,0,0,---,Z12842 TO P311110
090913_090914,3-3/0_AL_C,300,4.02,ABCN,125.2,0,163.5,100,55,55,2,0,3547,-24,12066,453,1,2,---,Z12842 TO Z319718
090914_090915,3-3/0_AL_C,300,4.21,ABCN,125.1,0.1,163.4,100,54,54,0,0,3544,-25,12051,452,2,2,---,Z319718 TO Z12841
